Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,22,26.7,6,540,90,100,6.0,66,82,39,26,20,37,1.67,11,5,6,1.0,8.6,5.8,2.8,0.47
Bologna,24,27.8,6,540,90,100,6.0,66,79,36,30,25,51,1.67,9,5,4,0.67,8.3,5.6,2.7,0.45
Cagliari,23,25.9,6,540,90,100,6.0,66,79,36,30,24,49,1.33,6,6,0,0.0,6.1,10.8,-4.8,-0.79
Como,21,25.7,6,540,90,100,6.0,66,79,34,30,25,44,1.5,7,5,2,0.33,7.7,5.8,1.9,0.31
Cremonese,25,28.4,6,540,90,100,6.0,66,78,36,30,26,44,1.5,7,8,-1,-0.17,4.3,10.3,-6.0,-0.99
Fiorentina,22,27.5,6,540,90,100,6.0,66,80,38,28,25,53,0.5,4,8,-4,-0.67,6.6,8.2,-1.6,-0.27
Genoa,22,26.3,6,540,90,100,6.0,66,81,38,28,22,57,0.33,3,9,-6,-1.0,5.8,7.1,-1.4,-0.23
Hellas Verona,24,26.7,6,540,90,100,6.0,66,81,37,30,19,53,0.5,2,9,-7,-1.17,6.6,8.2,-1.7,-0.28
Inter,24,29.4,6,540,90,100,6.0,66,81,37,29,21,52,2.0,17,8,9,1.5,12.5,4.4,8.1,1.34
Juventus,22,25.9,6,540,90,100,6.0,66,81,36,29,21,34,2.0,9,5,4,0.67,7.0,6.1,0.9,0.15
Lazio,23,28.2,6,540,90,100,6.0,66,79,36,29,25,39,1.17,10,7,3,0.5,8.5,7.8,0.7,0.11
Lecce,22,25.9,6,540,90,100,6.0,66,80,37,29,22,50,0.83,5,10,-5,-0.83,4.4,8.6,-4.2,-0.7
Milan,24,28.1,6,540,90,100,6.0,66,81,41,24,23,34,2.17,9,3,6,1.0,8.6,4.6,4.0,0.67
Napoli,24,29.6,6,540,90,100,6.0,66,83,38,28,17,52,2.5,12,6,6,1.0,10.3,5.9,4.4,0.73
Parma,19,24.3,6,540,90,100,6.0,66,83,41,26,17,52,0.83,3,7,-4,-0.67,5.9,5.6,0.3,0.05
Pisa,24,26.8,6,540,90,100,6.0,66,78,35,30,24,55,0.33,3,10,-7,-1.17,4.8,9.2,-4.3,-0.72
Roma,21,26.6,6,540,90,100,6.0,66,81,37,29,21,42,2.5,7,2,5,0.83,7.0,5.2,1.8,0.3
Sassuolo,25,26.3,6,540,90,100,6.0,66,81,35,30,20,58,1.5,8,8,0,0.0,6.7,8.8,-2.1,-0.34
Torino,24,27.4,6,540,90,100,6.0,66,81,36,30,21,51,0.83,5,13,-8,-1.33,6.2,8.6,-2.4,-0.4
Udinese,25,26.0,6,540,90,100,6.0,66,80,38,28,24,54,1.33,6,9,-3,-0.5,7.3,6.5,0.9,0.15
