Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atalanta,1,6,6,540,6.0,11,1.83,27,16,59.3,0,4,2,0,0.0,0,0,0,0,
vs Bologna,1,6,6,540,6.0,9,1.5,22,13,68.2,2,1,3,2,33.3,2,2,0,0,0.0
vs Cagliari,1,6,6,540,6.0,6,1.0,19,13,73.7,2,2,2,2,33.3,1,1,0,0,0.0
vs Como,1,6,6,540,6.0,7,1.17,29,22,75.9,1,3,2,1,16.7,0,0,0,0,
vs Cremonese,2,6,6,540,6.0,7,1.17,16,9,62.5,1,3,2,2,33.3,1,1,0,0,0.0
vs Fiorentina,1,6,6,540,6.0,4,0.67,13,9,69.2,3,3,0,2,33.3,0,0,0,0,
vs Genoa,1,6,6,540,6.0,3,0.5,17,14,82.4,4,2,0,3,50.0,0,0,0,0,
vs Hellas Verona,1,6,6,540,6.0,2,0.33,32,30,96.9,3,3,0,4,66.7,1,1,0,0,0.0
vs Inter,2,6,6,540,6.0,17,2.83,36,20,52.8,2,0,4,0,0.0,0,0,0,0,
vs Juventus,1,6,6,540,6.0,9,1.5,32,23,71.9,0,3,3,1,16.7,0,0,0,0,
vs Lazio,1,6,6,540,6.0,10,1.67,21,11,57.1,3,1,2,3,50.0,1,1,0,0,0.0
vs Lecce,1,6,6,540,6.0,5,0.83,17,12,70.6,3,2,1,2,33.3,0,0,0,0,
vs Milan,2,6,6,540,6.0,9,1.5,27,18,66.7,1,1,4,1,16.7,1,0,0,1,
vs Napoli,2,6,6,540,6.0,12,2.0,36,24,72.2,1,0,5,0,0.0,2,2,0,0,0.0
vs Parma,1,6,6,540,6.0,3,0.5,16,13,87.5,3,2,1,4,66.7,1,1,0,0,0.0
vs Pisa,1,6,6,540,6.0,3,0.5,14,12,85.7,4,2,0,4,66.7,1,1,0,0,0.0
vs Roma,1,6,6,540,6.0,7,1.17,28,21,75.0,1,0,5,1,16.7,0,0,0,0,
vs Sassuolo,2,6,6,540,6.0,8,1.33,24,15,70.8,3,0,3,1,16.7,2,1,1,0,50.0
vs Torino,1,6,6,540,6.0,5,0.83,29,23,82.8,3,2,1,3,50.0,1,0,1,0,100.0
vs Udinese,1,6,6,540,6.0,6,1.0,25,19,80.0,2,2,2,1,16.7,1,1,0,0,0.0
