Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atalanta,22,6.0,132,22.0,84,16,11,10,8,3,6,1.0,5,0,0,1,0,0
vs Bologna,24,6.0,107,17.83,71,11,8,8,5,4,6,1.0,4,1,0,1,0,0
vs Cagliari,23,6.0,164,27.33,108,17,14,11,9,5,12,2.0,10,1,1,0,0,0
vs Como,21,6.0,112,18.67,64,19,8,10,8,3,7,1.17,4,0,0,2,0,1
vs Cremonese,25,6.0,200,33.33,152,20,5,11,7,5,16,2.67,15,0,0,0,1,0
vs Fiorentina,22,6.0,139,23.17,95,19,5,8,10,2,15,2.5,7,3,0,2,3,0
vs Genoa,22,6.0,116,19.33,80,10,9,13,2,2,12,2.0,9,1,0,2,0,0
vs Hellas Verona,24,6.0,136,22.67,89,15,12,7,12,1,17,2.83,11,2,2,1,1,0
vs Inter,24,6.0,96,16.0,79,7,5,1,3,1,15,2.5,13,1,0,0,1,0
vs Juventus,22,6.0,121,20.17,86,15,4,9,5,2,7,1.17,5,1,0,0,1,0
vs Lazio,23,6.0,147,24.5,104,11,6,13,8,5,11,1.83,5,1,2,2,1,0
vs Lecce,22,6.0,137,22.83,95,15,6,9,9,3,16,2.67,10,2,0,0,3,1
vs Milan,24,6.0,106,17.67,90,8,3,2,2,1,6,1.0,3,1,0,1,1,0
vs Napoli,24,6.0,104,17.33,79,5,7,7,3,3,9,1.5,5,0,2,2,0,0
vs Parma,19,6.0,138,23.0,110,10,4,6,4,4,12,2.0,10,0,0,2,0,0
vs Pisa,24,6.0,177,29.5,134,12,12,13,6,0,19,3.17,14,1,2,1,1,0
vs Roma,21,6.0,104,17.33,72,15,5,4,6,2,3,0.5,3,0,0,0,0,0
vs Sassuolo,25,6.0,157,26.17,115,12,10,13,7,0,12,2.0,6,1,1,2,2,0
vs Torino,24,6.0,152,25.33,105,16,3,11,11,6,18,3.0,12,2,0,2,1,1
vs Udinese,25,6.0,112,18.67,82,9,7,12,1,1,12,2.0,7,0,1,3,0,1
