Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,22,6.0,5,0,0,61,58,7,116,51,45,1,0,0,252,94,84,52.8
vs Bologna,24,6.0,18,1,0,91,79,7,69,44,73,0,2,0,225,87,86,50.3
vs Cagliari,23,6.0,10,0,0,86,92,9,124,38,52,0,1,0,236,81,67,54.7
vs Como,21,6.0,18,0,0,85,94,12,92,58,71,0,0,0,222,58,84,40.8
vs Cremonese,25,6.0,9,1,0,78,67,11,123,37,48,1,1,0,231,81,80,50.3
vs Fiorentina,22,6.0,12,0,0,108,87,6,92,34,57,1,0,0,214,89,78,53.3
vs Genoa,22,6.0,10,1,0,85,89,12,86,42,46,0,0,0,222,114,94,54.8
vs Hellas Verona,24,6.0,10,0,0,54,99,6,95,41,40,1,1,0,227,111,85,56.6
vs Inter,24,6.0,7,0,0,54,75,8,78,43,36,0,0,1,168,69,91,43.1
vs Juventus,22,6.0,13,1,1,70,67,3,102,48,45,1,0,0,212,82,84,49.4
vs Lazio,23,6.0,17,0,0,111,70,7,96,58,61,0,1,0,215,67,80,45.6
vs Lecce,22,6.0,8,0,0,84,68,15,103,38,65,2,0,0,244,95,97,49.5
vs Milan,24,6.0,11,0,0,71,55,6,128,34,52,1,1,0,196,64,57,52.9
vs Napoli,24,6.0,10,2,1,83,75,4,62,50,65,0,2,0,220,64,79,44.8
vs Parma,19,6.0,12,1,0,83,67,16,97,42,52,0,1,0,226,112,104,51.9
vs Pisa,24,6.0,7,0,0,75,78,9,122,34,54,0,1,1,234,85,106,44.5
vs Roma,21,6.0,13,2,0,96,87,11,82,55,61,0,0,0,261,98,95,50.8
vs Sassuolo,25,6.0,13,0,0,91,71,4,113,35,57,1,2,0,209,88,80,52.4
vs Torino,24,6.0,10,0,0,70,84,8,90,44,53,1,1,0,215,96,88,52.2
vs Udinese,25,6.0,6,0,0,72,71,12,105,34,54,0,1,0,192,84,100,45.7
