Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Napoli,6,5,0,1,12,6,6,15,2.5,10.3,5.9,4.4,0.73,W W W L W,50270,Kevin De Bruyne - 3,Alex Meret,
2,Roma,6,5,0,1,7,2,5,15,2.5,7.0,5.2,1.8,0.3,W L W W W,62883,Matìas Soulé - 3,Mile Svilar,
3,Milan,6,4,1,1,9,3,6,13,2.17,8.6,4.6,4.0,0.67,W W W W D,72786,Christian Pulisic - 4,Mike Maignan,
4,Inter,6,4,0,2,17,8,9,12,2.0,12.5,4.4,8.1,1.34,L L W W W,70683,"Marcus Thuram, Lautaro Martínez - 3",Yann Sommer,
5,Juventus,6,3,3,0,9,5,4,12,2.0,7.0,6.1,0.9,0.15,W W D D D,41284,Dušan Vlahović - 2,Michele Di Gregorio,
6,Atalanta,6,2,4,0,11,5,6,10,1.67,8.6,5.8,2.8,0.47,D W W D D,22179,"Nikola Krstović, Charles De Ketelaere... - 2",Marco Carnesecchi,
7,Bologna,6,3,1,2,9,5,4,10,1.67,8.3,5.6,2.7,0.45,W L W D W,28106,Riccardo Orsolini - 4,Łukasz Skorupski,
8,Como,6,2,3,1,7,5,2,9,1.5,7.7,5.8,1.9,0.31,L D W D D,11482,Nicolás Paz - 3,Jean Butez,
9,Sassuolo,6,3,0,3,8,8,0,9,1.5,6.7,8.8,-2.1,-0.34,L W L W W,15094,Andrea Pinamonti - 2,Arijanet Muric,
10,Cremonese,6,2,3,1,7,8,-1,9,1.5,4.3,10.3,-6.0,-0.99,W D D D L,11924,"Federico Bonazzoli, Federico Baschirotto - 2",Emil Audero,
11,Cagliari,6,2,2,2,6,6,0,8,1.33,6.1,10.8,-4.8,-0.79,L W W L D,16028,Andrea Belotti - 2,Elia Caprile,
12,Udinese,6,2,2,2,6,9,-3,8,1.33,7.3,6.5,0.9,0.15,W W L L D,21022,Keinan Davis - 2,Razvan Sava,
13,Lazio,6,2,1,3,10,7,3,7,1.17,8.5,7.8,0.7,0.11,W L L W D,46868,Matteo Cancellieri - 3,Ivan Provedel,
14,Parma,6,1,2,3,3,7,-4,5,0.83,5.9,5.6,0.3,0.05,D L D W L,17933,Mateo Pellegrino - 2,Zion Suzuki,
15,Lecce,6,1,2,3,5,10,-5,5,0.83,4.4,8.6,-4.2,-0.7,L L L D W,26331,"Lassana Coulibaly, Riccardo Sottil... - 1",Wladimiro Falcone,
16,Torino,6,1,2,3,5,13,-8,5,0.83,6.2,8.6,-2.4,-0.4,D W L L D,19193,Giovanni Simeone - 2,Franco Israel,
17,Fiorentina,6,0,3,3,4,8,-4,3,0.5,6.6,8.2,-1.6,-0.27,D L L D L,21095,Rolando Mandragora - 2,David de Gea,
18,Hellas Verona,6,0,3,3,2,9,-7,3,0.5,6.6,8.2,-1.7,-0.28,L D D L L,23717,"Suat Serdar, Gift Orban - 1",Lorenzo Montipò,
19,Genoa,6,0,2,4,3,9,-6,2,0.33,5.8,7.1,-1.4,-0.23,L D L L L,32307,"Caleb Ekuban, Mikael Ellertsson... - 1",Nicola Leali,
20,Pisa,6,0,2,4,3,10,-7,2,0.33,4.8,9.2,-4.3,-0.72,L L L D L,11297,"M'Bala Nzola, Lorran - 1",Adrian Šemper,
