Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atalanta,22,6.0,2667,2415,245,67,5,9,116,90,25,7,11,0,2138,7,48
vs Bologna,24,6.0,2175,1880,288,95,12,14,69,116,20,9,7,0,1637,7,35
vs Cagliari,23,6.0,3062,2747,306,99,4,14,124,119,35,24,6,0,2517,9,31
vs Como,21,6.0,2289,1963,314,102,6,15,92,120,28,12,13,0,1768,12,49
vs Cremonese,25,6.0,3228,2935,282,80,11,22,123,120,43,22,19,0,2685,11,44
vs Fiorentina,22,6.0,2485,2184,295,101,5,8,92,93,29,13,13,0,1961,6,51
vs Genoa,22,6.0,2706,2369,325,97,6,14,86,156,26,10,7,0,2093,12,53
vs Hellas Verona,24,6.0,3252,2942,304,107,11,15,95,121,27,15,5,0,2670,6,59
vs Inter,24,6.0,2192,1892,292,91,4,10,78,93,20,10,8,0,1724,8,45
vs Juventus,22,6.0,2338,2064,271,70,2,7,102,107,28,18,10,0,1840,3,29
vs Lazio,23,6.0,2833,2544,282,78,10,34,96,124,27,14,8,0,2344,7,59
vs Lecce,22,6.0,2955,2682,258,71,8,17,103,98,36,13,18,0,2380,15,43
vs Milan,24,6.0,2957,2714,237,67,3,14,128,80,24,9,7,0,2511,6,40
vs Napoli,24,6.0,2228,1997,227,81,4,10,62,66,18,8,7,0,1755,4,30
vs Parma,19,6.0,2703,2424,263,75,3,11,97,103,27,13,10,0,2141,16,55
vs Pisa,24,6.0,3316,3001,306,86,7,20,122,127,36,12,18,0,2762,9,48
vs Roma,21,6.0,2189,1902,276,94,2,7,82,110,16,4,7,0,1594,11,50
vs Sassuolo,25,6.0,3145,2868,273,78,7,14,113,120,30,13,15,0,2599,4,63
vs Torino,24,6.0,3049,2784,257,93,6,14,90,93,23,13,9,0,2564,8,33
vs Udinese,25,6.0,2656,2355,289,80,7,15,105,113,29,6,18,0,2109,12,54
