Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atalanta,22,6.0,85,45,32,39,14,43,103,41.7,60,58,21,37,51,136,143,7
vs Bologna,24,6.0,103,73,49,47,7,44,87,50.6,43,61,25,36,44,147,130,2
vs Cagliari,23,6.0,84,52,36,35,13,36,68,52.9,32,52,14,38,38,122,109,4
vs Como,21,6.0,128,71,58,55,15,61,104,58.7,43,75,23,52,58,186,110,4
vs Cremonese,25,6.0,73,48,30,36,7,26,57,45.6,31,48,5,43,37,110,137,3
vs Fiorentina,22,6.0,97,57,50,35,12,42,81,51.9,39,48,22,26,34,131,170,1
vs Genoa,22,6.0,98,46,30,54,14,42,90,46.7,48,59,18,41,42,140,150,2
vs Hellas Verona,24,6.0,77,40,34,33,10,39,78,50.0,39,53,15,38,41,118,165,9
vs Inter,24,6.0,76,36,35,29,12,31,66,47.0,35,60,25,35,43,119,188,8
vs Juventus,22,6.0,84,45,44,30,10,48,94,51.1,46,74,25,49,48,132,162,2
vs Lazio,23,6.0,106,61,47,38,21,50,90,55.6,40,63,15,48,58,164,123,6
vs Lecce,22,6.0,103,65,57,33,13,56,85,65.9,29,47,16,31,38,141,120,3
vs Milan,24,6.0,76,52,42,27,7,49,91,53.8,42,45,17,28,34,110,112,7
vs Napoli,24,6.0,90,65,41,35,14,36,74,48.6,38,77,31,46,50,140,152,8
vs Parma,19,6.0,93,52,49,31,13,38,57,66.7,19,48,22,26,42,135,202,4
vs Pisa,24,6.0,100,54,36,47,17,52,87,59.8,35,46,14,32,34,134,139,5
vs Roma,21,6.0,103,61,46,47,10,47,78,60.3,31,77,16,61,55,158,154,4
vs Sassuolo,25,6.0,92,57,36,40,16,41,77,53.2,36,46,13,33,35,127,106,1
vs Torino,24,6.0,87,53,43,30,14,35,70,50.0,35,55,17,38,44,131,121,3
vs Udinese,25,6.0,98,54,53,36,9,49,95,51.6,46,60,23,37,34,132,150,7
