Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,22,6.0,4,76,26,34.2,12.67,4.33,0.05,0.15,19.6,2,0,1,5.8,5.0,0.07,-1.8,-1.0
vs Bologna,24,6.0,5,62,17,27.4,10.33,2.83,0.08,0.29,17.3,1,0,0,5.6,5.6,0.09,-0.6,-0.6
vs Cagliari,23,6.0,6,95,26,27.4,15.83,4.33,0.06,0.23,15.6,2,0,0,10.8,10.8,0.12,-4.8,-4.8
vs Como,21,6.0,5,65,13,20.0,10.83,2.17,0.08,0.38,18.1,2,0,0,5.8,5.8,0.1,-0.8,-0.8
vs Cremonese,25,6.0,8,108,37,34.3,18.0,6.17,0.06,0.19,17.9,3,1,1,10.3,9.5,0.09,-2.3,-2.5
vs Fiorentina,22,6.0,8,72,27,37.5,12.0,4.5,0.1,0.26,16.0,2,1,1,8.2,8.0,0.11,-0.2,-1.0
vs Genoa,22,6.0,9,67,22,32.8,11.17,3.67,0.12,0.36,15.2,0,1,1,7.1,6.4,0.1,1.9,1.6
vs Hellas Verona,24,6.0,9,72,23,31.9,12.0,3.83,0.13,0.39,18.6,3,0,1,8.2,7.2,0.1,0.8,1.8
vs Inter,24,6.0,8,51,19,37.3,8.5,3.17,0.14,0.37,19.9,1,1,1,4.4,3.7,0.07,3.6,3.3
vs Juventus,22,6.0,5,73,15,20.5,12.17,2.5,0.05,0.27,20.4,2,1,2,6.1,4.5,0.06,-1.1,-0.5
vs Lazio,23,6.0,7,87,32,36.8,14.5,5.33,0.08,0.22,17.2,3,0,0,7.8,7.8,0.09,-0.8,-0.8
vs Lecce,22,6.0,10,75,27,36.0,12.5,4.5,0.11,0.3,16.6,3,2,2,8.6,7.0,0.1,1.4,1.0
vs Milan,24,6.0,3,56,18,32.1,9.33,3.0,0.04,0.11,19.1,0,1,1,4.6,4.3,0.08,-1.6,-2.3
vs Napoli,24,6.0,6,62,15,24.2,10.33,2.5,0.08,0.33,19.3,2,1,1,5.9,5.3,0.09,0.1,-0.3
vs Parma,19,6.0,7,73,24,32.9,12.17,4.0,0.1,0.29,18.0,1,0,0,5.6,5.6,0.08,1.4,1.4
vs Pisa,24,6.0,10,100,29,29.0,16.67,4.83,0.1,0.34,17.4,4,0,0,9.2,9.2,0.09,0.8,0.8
vs Roma,21,6.0,2,58,17,29.3,9.67,2.83,0.03,0.12,20.2,2,0,0,5.2,5.2,0.09,-3.2,-3.2
vs Sassuolo,25,6.0,7,85,32,37.6,14.17,5.33,0.07,0.19,17.5,4,1,1,8.8,8.0,0.1,-1.8,-2.0
vs Torino,24,6.0,13,87,26,29.9,14.5,4.33,0.13,0.42,18.1,4,2,2,8.6,7.0,0.08,4.4,4.0
vs Udinese,25,6.0,9,69,21,30.4,11.5,3.5,0.13,0.43,15.7,1,0,0,6.5,6.5,0.1,2.5,2.5
