Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,21,7.0,9,0,0,79,71,9,145,47,68,2,0,0,265,94,97,49.2
Aston Villa,23,7.0,13,1,0,71,90,12,126,41,54,0,1,0,265,99,93,51.6
Bournemouth,23,7.0,16,0,0,80,77,15,144,60,74,1,0,0,325,105,119,46.9
Brentford,20,7.0,14,0,0,88,58,9,110,49,62,1,2,1,252,101,123,45.1
Brighton,20,7.0,22,0,0,92,85,15,99,54,86,1,1,2,287,83,104,44.4
Burnley,21,7.0,12,1,1,69,59,15,81,73,67,0,2,3,236,103,123,45.6
Chelsea,25,7.0,15,2,0,72,83,15,123,77,73,0,0,0,251,92,78,54.1
Crystal Palace,20,7.0,17,0,0,78,70,9,100,63,93,1,1,0,249,120,124,49.2
Everton,19,7.0,18,0,0,72,91,6,119,57,76,1,2,0,276,154,131,54.0
Fulham,21,7.0,16,0,0,98,81,14,144,44,69,0,3,1,262,84,103,44.9
Leeds United,21,7.0,10,0,0,73,86,8,105,57,84,0,1,1,272,95,113,45.7
Liverpool,22,7.0,15,0,0,65,72,8,126,51,61,0,0,0,268,130,90,59.1
Manchester City,22,7.0,10,0,0,57,75,6,82,47,60,0,1,0,273,98,70,58.3
Manchester Utd,20,7.0,8,1,1,70,84,11,125,49,81,3,0,0,282,119,133,47.2
Newcastle Utd,21,7.0,8,1,0,87,84,5,155,59,52,1,0,0,288,121,98,55.3
Nott'ham Forest,24,7.0,14,0,0,80,72,8,184,53,59,0,3,0,296,90,88,50.6
Sunderland,23,7.0,13,1,0,64,65,7,127,57,65,1,1,0,235,126,115,52.3
Tottenham,19,7.0,15,0,0,84,65,12,163,40,76,0,0,0,288,94,111,45.9
West Ham,24,7.0,10,1,0,76,61,8,120,47,51,1,1,0,241,118,118,50.0
Wolves,23,7.0,14,1,0,96,65,9,133,61,94,0,0,0,284,115,110,51.1
