Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,21,26.6,7,630,90,100,7.0,77,79,46,31,22,32,0.57,3,14,-11,-1.57,4.3,11.9,-7.5,-1.08
vs Aston Villa,23,27.3,7,630,90,100,7.0,77,81,47,29,18,34,1.29,7,6,1,0.14,9.7,5.9,3.8,0.54
vs Bournemouth,23,27.2,7,630,90,100,7.0,77,82,45,31,28,32,0.71,8,11,-3,-0.43,6.3,8.4,-2.0,-0.29
vs Brentford,20,26.4,7,630,90,100,7.0,77,84,50,28,23,35,1.86,12,9,3,0.43,9.6,8.4,1.2,0.18
vs Brighton,20,26.4,7,630,90,100,7.0,77,79,45,31,16,32,1.29,10,10,0,0.0,9.1,11.2,-2.1,-0.3
vs Burnley,21,26.2,7,630,90,100,7.0,77,84,45,33,21,30,2.29,15,7,8,1.14,13.4,4.9,8.5,1.21
vs Chelsea,25,26.9,7,630,90,100,7.0,77,76,46,30,22,33,1.14,9,13,-4,-0.57,9.7,10.9,-1.2,-0.17
vs Crystal Palace,20,26.8,7,630,90,100,7.0,77,86,48,29,19,34,0.86,5,9,-4,-0.57,8.7,12.7,-4.0,-0.57
vs Everton,19,26.8,7,630,90,100,7.0,77,85,48,29,18,34,1.14,7,9,-2,-0.29,9.5,9.7,-0.2,-0.03
vs Fulham,21,26.1,7,630,90,100,7.0,77,80,46,33,20,30,1.57,11,8,3,0.43,8.9,7.3,1.7,0.24
vs Leeds United,21,26.6,7,630,90,100,7.0,77,84,47,30,25,33,1.57,11,7,4,0.57,7.9,7.6,0.3,0.04
vs Liverpool,22,26.8,7,630,90,100,7.0,77,82,46,29,18,34,0.86,9,13,-4,-0.57,7.9,10.9,-3.0,-0.43
vs Manchester City,22,26.6,7,630,90,100,7.0,77,82,44,33,17,30,1.0,6,15,-9,-1.29,7.1,12.1,-5.0,-0.71
vs Manchester Utd,20,26.1,7,630,90,100,7.0,77,81,44,32,25,31,1.43,11,9,2,0.29,9.9,13.6,-3.7,-0.53
vs Newcastle Utd,21,26.7,7,630,90,100,7.0,77,83,48,28,19,35,1.29,5,6,-1,-0.14,4.7,8.4,-3.6,-0.52
vs Nott'ham Forest,24,26.5,7,630,90,100,7.0,77,82,51,26,18,37,2.0,12,5,7,1.0,12.4,6.6,5.9,0.84
vs Sunderland,23,27.0,7,630,90,100,7.0,77,80,49,28,18,35,1.14,6,7,-1,-0.14,8.7,6.7,2.0,0.28
vs Tottenham,19,26.7,7,630,90,100,7.0,77,84,42,34,24,29,0.71,5,13,-8,-1.14,8.7,7.4,1.4,0.2
vs West Ham,24,26.2,7,630,90,100,7.0,77,83,49,28,19,35,2.29,16,6,10,1.43,11.1,6.6,4.5,0.64
vs Wolves,23,27.0,7,630,90,100,7.0,77,78,45,32,16,31,2.43,14,5,9,1.29,9.4,6.1,3.3,0.47
