Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,21,7.0,181,25.86,123,15,11,20,11,1,26,3.71,15,2,3,3,2,1
Aston Villa,23,7.0,138,19.71,110,13,1,7,5,2,11,1.57,11,0,0,0,0,0
Bournemouth,23,7.0,165,23.57,123,10,10,6,10,6,21,3.0,15,1,2,0,2,1
Brentford,20,7.0,88,12.57,57,15,6,6,3,1,13,1.86,9,2,1,1,0,0
Brighton,20,7.0,138,19.71,96,9,11,8,9,5,15,2.14,10,0,2,2,1,0
Burnley,21,7.0,96,13.71,63,14,3,8,7,1,12,1.71,7,1,1,3,0,0
Chelsea,25,7.0,159,22.71,118,11,9,11,6,4,24,3.43,18,3,1,2,0,0
Crystal Palace,20,7.0,148,21.14,100,20,5,15,7,1,17,2.43,13,1,0,1,1,1
Everton,19,7.0,153,21.86,109,15,10,8,10,1,17,2.43,15,0,0,1,1,0
Fulham,21,7.0,129,18.43,98,11,5,10,3,2,10,1.43,7,1,0,2,0,0
Leeds United,21,7.0,132,18.86,87,13,3,17,4,8,11,1.57,4,1,0,4,1,1
Liverpool,22,7.0,182,26.0,149,7,8,13,4,1,24,3.43,21,0,1,1,1,0
Manchester City,22,7.0,149,21.29,114,8,16,9,2,0,23,3.29,20,0,3,0,0,0
Manchester Utd,20,7.0,195,27.86,138,14,9,20,10,4,12,1.71,8,0,1,2,1,0
Newcastle Utd,21,7.0,145,20.71,107,15,6,6,6,5,11,1.57,6,0,1,0,3,1
Nott'ham Forest,24,7.0,147,21.0,119,7,7,9,1,4,10,1.43,8,0,2,0,0,0
Sunderland,23,7.0,118,16.86,75,17,7,11,5,3,12,1.71,8,1,0,1,2,0
Tottenham,19,7.0,133,19.0,99,12,8,8,4,2,22,3.14,17,1,2,1,0,1
West Ham,24,7.0,121,17.29,83,17,10,6,5,0,9,1.29,7,1,0,0,1,0
Wolves,23,7.0,121,17.29,88,13,8,3,6,3,7,1.0,6,0,0,1,0,0
