Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,2,34,34,3060,34.0,60,1.76,183,123,71.0,10,9,15,3,8.8,10,7,2,1,22.2
Bayern Munich,3,34,34,3060,34.0,45,1.32,124,78,66.1,23,3,8,11,32.4,4,3,1,0,25.0
Bochum,2,34,34,3060,34.0,74,2.18,189,117,65.6,7,12,15,4,11.8,11,9,2,0,18.2
Darmstadt 98,2,34,34,3060,34.0,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0
Dortmund,2,34,34,3060,34.0,43,1.26,145,103,73.8,18,9,7,10,29.4,6,5,1,0,16.7
Eint Frankfurt,2,34,34,3060,34.0,50,1.47,146,94,71.9,11,14,9,7,20.6,11,9,2,0,18.2
Freiburg,1,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
Gladbach,2,34,34,3060,34.0,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0
Heidenheim,1,34,34,3060,34.0,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5
Hoffenheim,1,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
Köln,1,34,34,3060,34.0,60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0.0
Leverkusen,2,34,34,3060,34.0,24,0.71,105,81,77.1,28,6,0,16,47.1,0,0,0,0,
Mainz 05,2,34,34,3060,34.0,51,1.5,145,95,66.9,7,14,13,8,23.5,4,3,0,1,0.0
RB Leipzig,2,34,34,3060,34.0,39,1.15,117,79,70.1,19,8,7,10,29.4,5,4,0,1,0.0
Stuttgart,2,34,34,3060,34.0,39,1.15,129,93,72.1,23,4,7,12,35.3,3,3,0,0,0.0
Union Berlin,2,34,34,3060,34.0,58,1.71,168,109,68.5,9,6,19,7,20.6,7,5,2,0,28.6
Werder Bremen,2,34,34,3060,34.0,54,1.59,166,113,71.1,11,9,14,7,20.6,6,6,0,0,0.0
Wolfsburg,2,34,34,3060,34.0,56,1.65,151,98,64.2,10,7,17,6,17.6,3,2,0,1,0.0
