Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,2,38,38,3417,38.0,47,1.24,112,63,62.5,23,9,6,11,28.9,8,5,3,0,37.5
Benevento,2,38,38,3420,38.0,75,1.97,177,107,59.9,7,12,19,7,18.4,5,4,1,0,20.0
Bologna,3,38,38,3420,38.0,65,1.71,193,128,69.9,10,11,17,5,13.2,9,7,2,0,22.2
Cagliari,2,38,38,3420,38.0,59,1.55,203,144,73.4,9,10,19,7,18.4,5,5,0,0,0.0
Crotone,3,38,38,3420,38.0,92,2.42,216,126,59.7,6,5,27,3,7.9,5,5,0,0,0.0
Fiorentina,2,38,38,3420,38.0,59,1.55,152,92,66.4,9,13,16,9,23.7,11,8,3,0,27.3
Genoa,3,38,38,3419,38.0,58,1.53,188,132,72.9,10,12,16,9,23.7,7,7,0,0,0.0
Hellas Verona,3,38,38,3420,38.0,48,1.26,145,99,71.0,11,12,15,7,18.4,7,6,0,1,0.0
Inter,3,38,38,3420,38.0,35,0.92,118,82,74.6,28,7,3,14,36.8,7,5,2,0,28.6
Juventus,3,38,38,3420,38.0,38,1.0,121,82,73.6,23,9,6,8,21.1,9,6,3,0,33.3
Lazio,2,38,38,3420,38.0,55,1.45,151,98,70.2,21,5,12,12,31.6,10,10,0,0,0.0
Milan,2,38,38,3420,38.0,41,1.08,133,92,71.4,24,7,7,14,36.8,5,3,1,1,25.0
Napoli,2,38,38,3420,38.0,41,1.08,123,83,70.7,24,5,9,14,36.8,5,5,0,0,0.0
Parma,2,38,38,3420,38.0,83,2.18,191,111,58.1,3,11,24,5,13.2,3,3,0,0,0.0
Roma,3,38,38,3420,38.0,58,1.53,167,114,68.3,18,8,12,11,28.9,6,5,1,0,16.7
Sampdoria,2,38,38,3420,38.0,54,1.42,174,119,73.0,15,7,16,7,18.4,9,7,2,0,22.2
Sassuolo,2,38,38,3420,38.0,56,1.47,186,130,72.0,17,11,10,8,21.1,5,4,1,0,20.0
Spezia,3,38,38,3420,38.0,72,1.89,178,105,64.6,9,12,17,5,13.2,10,9,1,0,10.0
Torino,3,38,38,3420,38.0,69,1.82,157,88,61.8,7,16,15,8,21.1,10,9,0,1,0.0
Udinese,4,38,38,3420,38.0,58,1.53,159,101,72.3,10,10,18,8,21.1,14,14,0,0,0.0
