Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,26,38.0,569,14.97,398,64,31,33,32,11,66,1.74,49,5,2,4,5,1
vs Aston Villa,26,38.0,757,19.92,530,82,46,52,39,8,74,1.95,48,7,5,7,5,2
vs Bournemouth,31,38.0,1090,28.68,820,101,40,67,45,17,114,3.0,73,15,4,17,5,0
vs Brentford,25,38.0,999,26.29,764,68,54,74,28,11,76,2.0,51,7,6,9,2,1
vs Brighton,29,38.0,673,17.71,483,54,42,38,43,13,82,2.16,54,4,9,7,7,1
vs Chelsea,32,38.0,751,19.76,543,59,47,52,34,16,70,1.84,45,4,5,10,4,2
vs Crystal Palace,26,38.0,796,20.95,578,85,35,45,44,9,81,2.13,59,5,6,7,4,0
vs Everton,28,38.0,1017,26.76,736,97,52,74,42,16,99,2.61,67,2,8,12,9,1
vs Fulham,29,38.0,878,23.11,639,65,53,63,50,8,87,2.29,55,3,7,14,8,0
vs Leeds United,29,38.0,921,24.24,639,88,73,60,49,12,140,3.68,98,4,21,8,7,2
vs Leicester City,28,38.0,986,25.95,712,84,52,71,50,17,106,2.79,81,4,6,5,7,3
vs Liverpool,28,38.0,655,17.24,481,58,45,30,32,9,78,2.05,52,3,10,5,4,4
vs Manchester City,24,38.0,494,13.0,348,42,23,40,24,17,51,1.34,36,3,2,3,5,2
vs Manchester Utd,26,38.0,824,21.68,568,85,42,69,44,16,68,1.79,50,4,0,6,7,1
vs Newcastle Utd,27,38.0,678,17.84,492,51,46,43,31,15,53,1.39,38,4,4,6,1,0
vs Nott'ham Forest,33,38.0,1000,26.32,703,97,58,72,61,9,120,3.16,85,8,6,11,8,2
vs Southampton,36,38.0,920,24.21,702,65,46,59,34,14,121,3.18,94,7,6,7,6,1
vs Tottenham,29,38.0,905,23.82,681,71,49,51,37,16,111,2.92,82,4,9,10,4,2
vs West Ham,25,38.0,890,23.42,674,70,47,51,32,16,100,2.63,72,8,5,5,6,4
vs Wolves,32,38.0,959,25.24,688,78,50,63,58,22,98,2.58,71,4,6,6,5,6
