Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,29,34.0,704,20.71,505,80,34,43,37,5,63,1.85,42,7,5,5,3,1
Bayern Munich,29,34.0,1168,34.35,902,64,91,63,37,11,161,4.74,108,6,19,16,9,3
Bochum,27,34.0,739,21.74,535,83,24,50,33,14,53,1.56,30,5,5,8,3,2
Dortmund,28,34.0,857,25.21,628,58,72,58,26,15,123,3.62,88,4,13,8,5,5
Eint Frankfurt,26,34.0,849,24.97,594,65,57,77,36,20,115,3.38,67,8,17,13,5,5
Freiburg,26,34.0,714,21.0,501,63,38,57,44,11,84,2.47,60,7,3,9,4,1
Gladbach,26,34.0,736,21.65,542,73,27,50,29,15,93,2.74,73,7,3,5,4,1
Heidenheim,27,34.0,713,20.97,489,77,43,47,49,8,60,1.76,32,8,4,9,6,1
Hoffenheim,35,34.0,790,23.24,585,74,39,50,35,7,81,2.38,55,8,6,7,4,1
Holstein Kiel,27,34.0,652,19.18,459,74,21,49,40,9,81,2.38,49,8,5,10,6,3
Leverkusen,23,34.0,910,26.76,673,72,55,67,32,11,124,3.65,90,8,8,13,4,1
Mainz 05,25,34.0,736,21.65,557,67,30,42,30,10,93,2.74,75,2,0,9,6,1
RB Leipzig,29,34.0,721,21.21,542,59,39,36,34,11,85,2.5,60,4,4,11,5,1
St. Pauli,28,34.0,662,19.47,448,72,36,49,43,14,45,1.32,29,2,7,5,1,1
Stuttgart,29,34.0,841,24.74,648,52,40,68,24,9,104,3.06,72,5,9,12,4,2
Union Berlin,28,34.0,709,20.85,485,96,28,51,41,8,62,1.82,37,8,4,7,5,1
Werder Bremen,23,34.0,772,22.71,584,64,26,49,39,10,94,2.76,75,4,1,6,6,2
Wolfsburg,27,34.0,754,22.18,528,80,35,54,45,12,95,2.79,57,11,5,11,9,2
