Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,22,6.0,153,25.5,116,10,8,10,4,5,15,2.5,11,1,0,1,0,2
Bologna,24,6.0,147,24.5,105,15,7,11,6,3,16,2.67,13,1,0,0,2,0
Cagliari,23,6.0,116,19.33,78,17,4,8,6,3,9,1.5,3,1,0,3,2,0
Como,21,6.0,167,27.83,126,13,12,6,6,4,14,2.33,10,1,1,0,2,0
Cremonese,25,6.0,65,10.83,47,7,4,3,4,0,13,2.17,9,2,0,1,1,0
Fiorentina,22,6.0,123,20.5,86,12,5,8,11,1,5,0.83,3,0,0,2,0,0
Genoa,22,6.0,103,17.17,69,11,6,10,4,3,5,0.83,3,0,1,1,0,0
Hellas Verona,24,6.0,139,23.17,99,14,8,9,5,4,2,0.33,0,0,0,1,1,0
Inter,24,6.0,218,36.33,156,23,10,20,6,3,27,4.5,23,2,1,1,0,0
Juventus,22,6.0,177,29.5,122,21,12,12,9,1,17,2.83,12,2,2,0,1,0
Lazio,23,6.0,125,20.83,87,13,7,8,8,2,18,3.0,13,1,0,1,2,1
Lecce,22,6.0,96,16.0,61,13,6,8,5,3,8,1.33,5,1,1,1,0,0
Milan,24,6.0,146,24.33,107,12,10,9,6,2,13,2.17,9,1,1,0,1,1
Napoli,24,6.0,162,27.0,123,7,12,13,5,2,20,3.33,11,0,2,4,3,0
Parma,19,6.0,119,19.83,69,18,4,10,13,5,4,0.67,1,1,0,2,0,0
Pisa,24,6.0,99,16.5,63,14,8,7,4,3,2,0.33,1,0,0,1,0,0
Roma,21,6.0,136,22.67,103,13,2,9,6,3,11,1.83,10,1,0,0,0,0
Sassuolo,25,6.0,105,17.5,78,6,5,6,7,3,14,2.33,10,0,1,2,1,0
Torino,24,6.0,121,20.17,94,9,7,3,5,3,9,1.5,6,1,1,1,0,0
Udinese,25,6.0,140,23.33,105,14,7,8,6,0,9,1.5,5,2,0,2,0,0
