Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arminia,26,34.0,464,279,210,206,48,202,435,46.4,233,341,90,251,346,810,652,6
vs Augsburg,25,34.0,513,317,210,229,74,192,474,40.5,282,390,90,300,372,885,530,7
vs Bayern Munich,29,34.0,601,328,345,198,58,252,689,36.6,437,449,130,319,456,1057,855,12
vs Dortmund,26,34.0,523,304,273,195,55,229,629,36.4,400,412,120,292,483,1006,665,13
vs Eint Frankfurt,25,34.0,549,309,279,217,53,237,514,46.1,277,351,93,258,470,1019,689,9
vs Freiburg,24,34.0,424,261,204,171,49,193,423,45.6,230,370,87,283,354,778,617,8
vs Gladbach,23,34.0,513,302,224,230,59,214,533,40.2,319,403,95,308,419,932,605,16
vs Hertha BSC,32,34.0,552,315,254,244,54,242,571,42.4,329,344,83,261,399,951,579,8
vs Hoffenheim,30,34.0,554,343,284,220,50,274,553,49.5,279,413,91,322,428,982,644,6
vs Köln,28,34.0,446,284,201,177,68,182,420,43.3,238,376,96,280,363,809,618,7
vs Leverkusen,30,34.0,619,398,273,270,76,284,710,40.0,426,400,106,294,428,1047,707,4
vs Mainz 05,31,34.0,499,308,228,219,52,220,488,45.1,268,386,89,297,448,947,673,8
vs RB Leipzig,25,34.0,534,303,244,227,63,208,523,39.8,315,429,127,302,520,1054,696,9
vs Schalke 04,42,34.0,636,370,211,309,116,284,617,46.0,333,380,83,297,378,1014,447,7
vs Stuttgart,29,34.0,665,394,279,290,96,255,668,38.2,413,433,111,322,455,1120,564,4
vs Union Berlin,27,34.0,413,265,165,193,55,183,389,47.0,206,354,90,264,401,814,640,7
vs Werder Bremen,27,34.0,447,270,181,204,62,179,367,48.8,188,344,82,262,413,860,517,7
vs Wolfsburg,26,34.0,482,281,234,195,53,186,482,38.6,296,408,111,297,445,927,677,15
