Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Brest,25,34.0,63,6,2,445,389,64,534,305,344,3,4,2,1735,509,598,46.0
vs Clermont Foot,31,34.0,70,6,3,448,376,41,642,352,331,7,8,0,1860,414,393,51.3
vs Le Havre,27,34.0,63,6,1,392,415,71,607,286,335,4,7,1,1650,482,485,49.8
vs Lens,27,34.0,70,2,0,441,433,39,488,345,329,8,7,0,1691,388,451,46.2
vs Lille,28,34.0,77,0,0,516,358,92,506,340,367,4,3,2,1673,346,355,49.4
vs Lorient,38,34.0,61,4,1,431,384,38,733,293,389,8,1,2,1781,394,410,49.0
vs Lyon,35,34.0,63,3,1,387,407,51,594,362,397,5,4,1,1735,367,396,48.1
vs Marseille,33,34.0,82,8,2,441,359,39,553,381,325,3,4,2,1655,365,372,49.5
vs Metz,30,34.0,58,1,0,400,399,51,736,259,382,5,6,0,1750,534,390,57.8
vs Monaco,30,34.0,62,5,1,421,464,63,568,360,341,6,5,2,1893,394,402,49.5
vs Montpellier,31,34.0,81,5,3,473,406,49,669,302,362,5,7,2,1854,449,426,51.3
vs Nantes,35,34.0,62,5,0,383,430,41,621,271,288,9,5,0,1656,424,387,52.3
vs Nice,27,34.0,71,5,2,385,379,50,489,294,412,6,7,1,1639,360,374,49.0
vs Paris S-G,29,34.0,50,2,0,375,338,45,515,375,391,5,9,3,1702,267,275,49.3
vs Reims,29,34.0,57,1,0,352,422,60,653,363,377,6,4,2,1736,390,395,49.7
vs Rennes,29,34.0,73,9,3,450,410,64,583,359,378,3,11,0,1670,424,386,52.3
vs Strasbourg,30,34.0,68,1,1,430,441,75,576,287,368,4,4,2,1630,413,374,52.5
vs Toulouse,26,34.0,62,3,0,462,485,36,605,313,327,4,9,0,1719,421,472,47.1
