Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Augsburg,22,6.0,13,84,32,38.1,14.0,5.33,0.14,0.38,16.0,2,1,2,13.4,11.8,0.14,-0.4,0.2
vs Bayern Munich,20,6.0,3,59,13,22.0,9.83,2.17,0.05,0.23,17.3,2,0,0,3.2,3.2,0.05,-0.2,-0.2
vs Dortmund,21,6.0,4,58,15,25.9,9.67,2.5,0.05,0.2,17.9,1,1,1,5.1,4.4,0.08,-1.1,-1.4
vs Eint Frankfurt,22,6.0,16,78,32,41.0,13.0,5.33,0.19,0.47,17.1,3,1,1,9.0,8.2,0.11,7.0,6.8
vs Freiburg,23,6.0,9,74,26,35.1,12.33,4.33,0.12,0.35,17.5,2,0,1,8.0,7.2,0.1,1.0,1.8
vs Gladbach,23,7.0,15,93,33,35.5,13.29,4.71,0.15,0.42,17.2,1,1,1,9.4,8.7,0.09,5.6,5.3
vs Hamburger SV,24,6.0,8,96,33,34.4,16.0,5.5,0.07,0.21,17.5,3,1,2,9.9,8.4,0.09,-1.9,-1.4
vs Heidenheim,23,6.0,11,98,34,34.7,16.33,5.67,0.1,0.29,17.3,3,1,1,11.2,10.4,0.11,-0.2,-0.4
vs Hoffenheim,20,6.0,12,68,27,39.7,11.33,4.5,0.15,0.37,16.2,3,2,2,10.2,8.6,0.14,1.8,1.4
vs Köln,22,6.0,9,92,26,28.3,15.33,4.33,0.09,0.31,15.5,2,1,1,10.1,9.3,0.11,-1.1,-1.3
vs Leverkusen,23,6.0,8,70,26,37.1,11.67,4.33,0.1,0.27,18.6,1,1,1,6.3,5.6,0.08,1.7,1.4
vs Mainz 05,23,6.0,10,85,26,30.6,14.17,4.33,0.12,0.38,18.0,5,0,0,8.2,8.2,0.1,1.8,1.8
vs RB Leipzig,21,6.0,8,87,22,25.3,14.5,3.67,0.09,0.36,16.4,1,0,0,9.3,9.3,0.11,-1.3,-1.3
vs St. Pauli,17,6.0,9,58,29,50.0,9.67,4.83,0.16,0.31,18.1,3,0,2,7.5,6.0,0.1,1.5,3.0
vs Stuttgart,22,6.0,6,65,21,32.3,10.83,3.5,0.08,0.24,16.1,1,1,1,6.3,5.5,0.09,-0.3,-0.5
vs Union Berlin,19,7.0,14,101,38,37.6,14.43,5.43,0.11,0.29,18.3,1,3,3,13.4,11.1,0.11,0.6,-0.1
vs Werder Bremen,22,6.0,13,93,28,30.1,15.5,4.67,0.11,0.36,18.2,5,3,3,12.8,10.4,0.11,0.2,-0.4
vs Wolfsburg,21,6.0,10,78,27,34.6,13.0,4.5,0.12,0.33,17.5,3,1,2,9.5,7.9,0.1,0.5,1.1
