Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Brest,25,34.0,15176,13505,1607,432,44,84,534,664,143,65,56,0,11747,64,337
vs Clermont Foot,31,34.0,17611,16060,1510,420,53,92,642,638,173,61,60,1,14270,41,295
vs Le Havre,27,34.0,19043,17347,1625,465,48,87,607,695,156,52,69,0,15710,71,279
vs Lens,27,34.0,16265,14626,1600,497,38,56,488,622,128,52,54,0,12996,39,303
vs Lille,28,34.0,14728,13163,1473,399,50,102,506,610,142,72,41,0,11698,92,270
vs Lorient,38,34.0,19173,17646,1489,431,24,90,733,590,191,79,75,1,15949,38,314
vs Lyon,35,34.0,16844,15324,1469,449,56,95,594,546,150,62,69,0,13756,51,255
vs Marseille,33,34.0,15560,13985,1536,429,23,97,553,562,162,73,70,0,12519,39,310
vs Metz,30,34.0,21875,20255,1569,436,36,72,736,668,182,65,97,0,18493,51,345
vs Monaco,30,34.0,15731,13998,1670,522,61,107,568,624,156,61,65,0,12256,63,353
vs Montpellier,31,34.0,18181,16581,1551,460,44,77,669,611,173,75,72,0,14871,49,308
vs Nantes,35,34.0,19173,17524,1608,464,39,114,621,684,176,58,91,0,15934,41,271
vs Nice,27,34.0,16675,15200,1425,436,48,81,489,563,104,34,48,1,13633,50,321
vs Paris S-G,29,34.0,12950,11502,1403,389,35,72,515,491,159,55,70,0,10100,45,269
vs Reims,29,34.0,16208,14494,1654,500,51,109,653,673,177,56,84,0,12888,60,302
vs Rennes,29,34.0,16224,14643,1517,443,33,100,583,585,151,60,48,0,13026,64,307
vs Strasbourg,30,34.0,18849,17179,1595,477,57,97,576,648,169,57,84,0,15611,75,329
vs Toulouse,26,34.0,17445,15791,1618,527,30,75,605,618,177,72,75,2,14170,36,318
