Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Angers,30,38.0,81,7,4,483,448,94,727,423,504,3,9,3,2142,509,408,55.5
vs Bordeaux,39,38.0,68,6,1,412,437,77,703,397,377,8,4,2,2193,506,488,50.9
vs Brest,25,38.0,81,7,1,441,408,68,672,366,390,3,8,1,2159,540,618,46.6
vs Clermont Foot,28,38.0,77,6,2,502,367,40,592,475,393,4,3,2,2148,466,432,51.9
vs Lens,28,38.0,84,7,3,371,402,43,587,474,333,4,5,2,2028,365,428,46.0
vs Lille,26,38.0,86,8,5,462,428,37,687,437,395,5,5,3,2077,492,525,48.4
vs Lorient,29,38.0,72,10,2,444,452,37,710,392,388,4,3,0,2101,524,433,54.8
vs Lyon,30,38.0,63,0,0,447,403,76,611,485,403,4,8,2,2130,409,470,46.5
vs Marseille,27,38.0,84,7,4,473,336,110,512,404,351,1,10,2,1805,323,368,46.7
vs Metz,36,38.0,67,2,1,440,484,64,780,359,387,4,1,2,2175,529,527,50.1
vs Monaco,27,38.0,66,2,0,428,473,50,539,506,360,8,9,3,2222,498,546,47.7
vs Montpellier,27,38.0,87,4,3,490,395,42,760,411,384,5,4,1,2093,560,437,56.2
vs Nantes,26,38.0,61,9,1,393,475,54,650,357,409,5,5,2,1992,565,599,48.5
vs Nice,27,38.0,59,3,1,399,441,69,664,381,386,4,10,0,1984,471,526,47.2
vs Paris S-G,36,38.0,74,5,4,442,340,84,549,455,393,2,8,2,1850,221,262,45.8
vs Reims,35,38.0,76,6,2,481,430,34,827,367,335,5,6,1,2030,495,453,52.2
vs Rennes,28,38.0,73,2,2,400,408,58,691,392,295,4,4,1,1800,534,547,49.4
vs Saint-Étienne,39,38.0,69,1,0,467,439,84,575,402,415,6,5,1,2136,611,463,56.9
vs Strasbourg,26,38.0,78,4,1,422,469,45,620,406,284,4,8,4,1980,521,654,44.3
vs Troyes,35,38.0,89,7,5,493,411,58,692,379,356,8,7,2,2065,460,417,52.5
