Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,22,6.0,21,0,0,86,63,19,118,62,58,0,2,0,259,99,96,50.8
Bayern Munich,20,6.0,16,0,0,64,66,12,75,57,42,2,0,0,268,42,37,53.2
Dortmund,21,6.0,9,1,0,72,57,12,104,42,36,1,1,0,238,78,68,53.4
Eint Frankfurt,22,6.0,13,0,0,57,67,6,118,53,61,1,1,0,232,71,90,44.1
Freiburg,23,6.0,10,1,0,54,78,12,120,58,44,1,1,0,205,122,125,49.4
Gladbach,23,7.0,16,0,0,94,68,14,155,58,70,0,1,0,282,112,103,52.1
Hamburger SV,24,6.0,15,2,1,83,77,14,77,44,45,0,2,0,226,98,83,54.1
Heidenheim,23,6.0,12,1,0,68,72,12,83,57,47,0,1,0,240,76,100,43.2
Hoffenheim,20,6.0,12,0,0,90,54,9,125,42,67,2,2,0,267,109,106,50.7
Köln,22,6.0,11,0,0,58,62,8,98,45,44,0,1,0,185,106,101,51.2
Leverkusen,23,6.0,19,2,2,63,77,8,75,44,54,2,1,0,230,94,64,59.5
Mainz 05,23,6.0,13,3,1,68,73,19,155,63,50,0,0,0,244,149,126,54.2
RB Leipzig,21,6.0,9,0,0,64,63,13,90,66,58,1,0,0,269,77,83,48.1
St. Pauli,17,6.0,12,0,0,79,68,9,126,47,64,1,2,0,261,68,112,37.8
Stuttgart,22,6.0,10,0,0,67,78,10,120,54,49,2,1,0,238,102,101,50.2
Union Berlin,19,7.0,17,1,0,104,88,12,131,60,62,1,3,0,260,124,145,46.1
Werder Bremen,22,6.0,15,1,1,54,51,11,63,52,56,2,3,1,246,63,63,50.0
Wolfsburg,21,6.0,11,1,1,65,64,2,98,66,62,1,2,0,205,93,80,53.8
