Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alavés,29,26.9,54.7,38,418,3420,38.0,46,28,74,35,11,11,107,5,47.0,38.5,33.3,71.8,573,1323,1.21,0.74,1.95,0.92,1.66,1.24,0.88,2.11,1.01,1.89
vs Athletic Club,31,26.6,51.6,38,418,3420,38.0,28,11,39,25,3,5,83,4,37.8,33.9,22.9,56.7,468,1177,0.74,0.29,1.03,0.66,0.95,0.99,0.6,1.6,0.89,1.49
vs Atlético Madrid,24,26.8,47.4,38,418,3420,38.0,28,17,45,23,5,5,68,0,33.4,29.5,23.9,53.4,581,1543,0.74,0.45,1.18,0.61,1.05,0.88,0.63,1.51,0.78,1.4
vs Barcelona,28,26.8,31.7,38,418,3420,38.0,39,31,70,35,4,4,89,2,41.9,38.8,32.6,71.4,406,780,1.03,0.82,1.84,0.92,1.74,1.1,0.86,1.96,1.02,1.88
vs Betis,36,27.0,47.6,38,418,3420,38.0,49,32,81,45,4,4,102,7,50.6,47.4,38.4,85.9,611,1411,1.29,0.84,2.13,1.18,2.03,1.33,1.01,2.34,1.25,2.26
vs Celta Vigo,30,26.7,46.4,38,418,3420,38.0,55,45,100,52,3,4,88,7,43.4,40.0,33.3,73.3,564,1222,1.45,1.18,2.63,1.37,2.55,1.14,0.88,2.02,1.05,1.93
vs Espanyol,27,27.0,60.2,38,418,3420,38.0,50,39,89,46,4,6,66,2,53.8,49.0,39.6,88.6,838,1821,1.32,1.03,2.34,1.21,2.24,1.42,1.04,2.46,1.29,2.33
vs Getafe,30,27.0,58.2,38,418,3420,38.0,39,21,60,31,8,9,101,5,46.2,39.4,31.3,70.7,499,1284,1.03,0.55,1.58,0.82,1.37,1.22,0.82,2.04,1.04,1.86
vs Girona,30,26.9,43.7,38,418,3420,38.0,59,46,105,56,3,6,80,4,50.4,45.7,36.5,82.2,582,1183,1.55,1.21,2.76,1.47,2.68,1.33,0.96,2.29,1.2,2.16
vs Las Palmas,34,26.8,49.3,38,418,3420,38.0,58,43,101,53,5,10,90,7,66.8,59.3,47.5,106.8,684,1470,1.53,1.13,2.66,1.39,2.53,1.76,1.25,3.01,1.56,2.81
vs Leganés,26,26.8,57.4,38,418,3420,38.0,53,34,87,46,7,8,74,1,59.4,53.1,40.9,94.0,754,1675,1.39,0.89,2.29,1.21,2.11,1.56,1.08,2.64,1.4,2.47
vs Mallorca,28,26.6,53.2,38,418,3420,38.0,43,31,74,40,3,3,70,2,46.8,44.5,36.0,80.5,693,1587,1.13,0.82,1.95,1.05,1.87,1.23,0.95,2.18,1.17,2.12
vs Osasuna,25,26.7,53.9,38,418,3420,38.0,51,38,89,44,7,7,81,6,53.7,48.3,40.7,88.9,647,1546,1.34,1.0,2.34,1.16,2.16,1.41,1.07,2.48,1.27,2.34
vs Rayo Vallecano,26,26.4,48.3,38,418,3420,38.0,44,33,77,38,6,8,78,4,49.0,42.7,33.0,75.7,613,1326,1.16,0.87,2.03,1.0,1.87,1.29,0.87,2.16,1.12,1.99
vs Real Madrid,30,26.7,39.6,38,418,3420,38.0,37,27,64,34,3,3,89,6,42.8,40.8,32.0,72.8,648,1168,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92
vs Real Sociedad,31,26.8,46.2,38,418,3420,38.0,46,32,78,41,5,7,82,0,43.9,38.3,29.0,67.3,538,1141,1.21,0.84,2.05,1.08,1.92,1.16,0.76,1.92,1.01,1.77
vs Sevilla,35,26.8,49.5,38,418,3420,38.0,54,37,91,49,5,6,93,4,47.4,42.7,34.0,76.7,551,1262,1.42,0.97,2.39,1.29,2.26,1.25,0.89,2.14,1.12,2.02
vs Valencia,32,26.8,51.6,38,418,3420,38.0,51,38,89,45,6,9,86,3,51.9,44.9,37.2,82.0,589,1419,1.34,1.0,2.34,1.18,2.18,1.36,0.98,2.34,1.18,2.16
vs Valladolid,38,27.0,57.2,38,418,3420,38.0,89,62,151,82,7,7,86,3,67.6,62.4,46.8,109.2,724,1753,2.34,1.63,3.97,2.16,3.79,1.78,1.23,3.01,1.64,2.87
vs Villarreal,31,26.8,52.4,38,418,3420,38.0,50,28,78,43,7,8,99,7,44.4,38.2,28.5,66.7,720,1597,1.32,0.74,2.05,1.13,1.87,1.17,0.75,1.92,1.01,1.75
