Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atalanta,29,38.0,19211,17199,1954,519,52,85,571,862,147,71,56,0,15204,58,412
vs Bologna,28,38.0,16289,14526,1714,482,37,83,641,695,165,60,81,3,12943,49,355
vs Cagliari,29,38.0,20551,18579,1881,501,62,154,761,744,217,80,88,1,16632,91,334
vs Empoli,34,38.0,19821,17760,2012,581,36,166,814,879,234,97,87,0,15981,49,376
vs Fiorentina,30,38.0,14943,13158,1696,490,27,90,457,701,116,36,65,0,11354,89,340
vs Frosinone,34,38.0,17938,16076,1791,408,43,108,676,794,180,73,74,1,13984,71,340
vs Genoa,34,38.0,20157,18253,1836,470,38,122,774,812,203,69,79,0,16363,68,354
vs Hellas Verona,36,38.0,18516,16354,2078,576,41,119,617,895,215,82,94,0,14365,84,320
vs Inter,27,38.0,16837,15132,1664,466,17,134,608,586,144,57,66,0,13716,41,310
vs Juventus,31,38.0,19506,17692,1789,522,21,120,756,687,173,82,60,1,16182,25,300
vs Lazio,22,38.0,18552,16735,1778,519,19,150,614,719,174,54,76,1,15117,39,349
vs Lecce,26,38.0,19242,17302,1903,529,50,107,680,818,189,88,66,0,15354,37,372
vs Milan,35,38.0,15824,14180,1595,456,19,145,575,581,151,49,65,0,12734,49,274
vs Monza,31,38.0,17248,15602,1600,465,42,113,655,616,192,70,85,2,14208,46,277
vs Napoli,29,38.0,14682,12925,1682,439,28,96,542,655,133,44,73,0,11370,75,302
vs Roma,30,38.0,16943,15312,1587,503,19,132,640,543,167,72,64,2,13816,44,282
vs Salernitana,39,38.0,20097,18226,1792,477,46,133,802,750,266,96,117,1,16368,79,307
vs Sassuolo,30,38.0,20461,18661,1688,389,46,144,759,725,205,60,99,4,16777,112,318
vs Torino,30,38.0,17138,15380,1720,513,35,69,557,683,143,50,66,0,13419,38,250
vs Udinese,32,38.0,20763,18697,2015,526,31,107,846,865,251,96,108,1,16929,51,384
