Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Almería,29,38.0,93,5,2,427,427,158,851,249,369,5,3,0,2010,530,482,52.4
vs Athletic Club,26,38.0,97,3,1,449,479,77,579,384,416,3,7,1,2087,487,532,47.8
vs Atlético Madrid,27,38.0,93,6,2,449,419,57,743,368,317,3,1,2,2011,399,445,47.3
vs Barcelona,29,38.0,93,8,2,471,412,120,483,369,385,3,2,1,1831,359,467,43.5
vs Betis,30,38.0,99,8,1,568,389,104,756,324,417,2,9,3,1977,502,453,52.6
vs Cádiz,38,38.0,100,11,5,508,503,69,852,242,374,6,5,1,1954,651,606,51.8
vs Celta Vigo,26,38.0,112,9,3,520,446,64,633,394,356,6,3,2,2018,539,458,54.1
vs Elche,32,38.0,83,8,4,417,499,100,753,288,402,7,5,0,1979,465,484,49.0
vs Espanyol,33,38.0,111,8,5,515,443,82,730,238,326,4,5,1,1886,596,647,47.9
vs Getafe,25,38.0,91,7,4,463,559,95,771,300,290,2,8,0,2137,697,714,49.4
vs Girona,29,38.0,91,5,1,537,423,64,753,304,415,6,9,3,1905,435,428,50.4
vs Mallorca,31,38.0,94,4,1,482,591,40,822,231,296,4,5,1,1900,629,674,48.3
vs Osasuna,26,38.0,81,9,5,430,513,109,696,311,332,4,5,1,1892,628,613,50.6
vs Rayo Vallecano,28,38.0,93,7,4,525,514,85,654,345,391,2,8,4,2125,527,437,54.7
vs Real Madrid,26,38.0,97,7,1,549,348,56,541,331,407,0,12,2,1730,231,339,40.5
vs Real Sociedad,30,38.0,98,10,5,470,591,91,570,325,403,2,4,4,1911,557,664,45.6
vs Sevilla,35,38.0,95,8,1,477,452,75,673,271,353,2,5,0,1822,475,497,48.9
vs Valencia,28,38.0,127,10,2,527,476,74,594,294,382,3,8,2,1925,561,492,53.3
vs Valladolid,36,38.0,66,2,0,555,427,53,734,264,389,5,4,1,1939,617,471,56.7
vs Villarreal,32,38.0,105,5,1,501,429,108,708,349,423,3,7,2,1823,375,357,51.2
