Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,38.0,46,1.21,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0.0
Almería,3,38,38,3420,38.0,75,1.97,202,126,65.8,3,12,23,6,15.8,9,6,1,2,14.3
Athletic Club,2,38,38,3420,38.0,37,0.97,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75.0
Atlético Madrid,1,38,38,3420,38.0,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0
Barcelona,2,38,38,3420,38.0,44,1.16,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0.0
Betis,3,38,38,3420,38.0,45,1.18,158,115,75.9,14,15,9,13,34.2,8,7,1,0,12.5
Cádiz,2,38,38,3420,38.0,55,1.45,175,121,69.7,6,15,17,10,26.3,2,2,0,0,0.0
Celta Vigo,2,38,38,3417,38.0,57,1.5,164,109,68.9,10,11,17,6,15.8,8,6,1,1,14.3
Getafe,2,38,38,3420,38.0,54,1.42,173,118,71.7,10,13,15,10,26.3,7,5,1,1,16.7
Girona,1,38,38,3420,38.0,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
Granada,4,38,38,3420,38.0,79,2.08,203,126,63.5,4,9,25,3,7.9,6,5,0,1,0.0
Las Palmas,2,38,38,3416,38.0,47,1.24,156,109,73.1,10,10,18,8,21.1,9,5,3,1,37.5
Mallorca,3,38,38,3420,38.0,44,1.16,148,104,73.0,8,16,14,10,26.3,5,4,1,0,20.0
Osasuna,2,38,38,3420,38.0,56,1.47,152,95,63.8,12,9,17,10,26.3,2,1,1,0,50.0
Rayo Vallecano,2,38,38,3420,38.0,48,1.26,151,104,68.9,8,14,16,13,34.2,2,1,1,0,50.0
Real Madrid,3,38,38,3420,38.0,26,0.68,118,93,78.8,29,8,1,21,55.3,1,1,0,0,0.0
Real Sociedad,2,38,38,3417,38.0,39,1.03,135,96,75.6,16,12,10,15,39.5,7,6,1,0,14.3
Sevilla,3,38,38,3420,38.0,54,1.42,175,123,72.0,10,11,17,8,21.1,5,5,0,0,0.0
Valencia,3,38,38,3420,38.0,45,1.18,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50.0
Villarreal,2,38,38,3420,38.0,65,1.71,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0.0
