Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,29,26.7,46.2,38,418,3420,38.0,35,25,60,33,2,3,74,2,43.0,40.6,31.8,72.4,604,1175,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91
vs Aston Villa,24,26.7,51.9,38,418,3420,38.0,45,30,75,40,5,6,73,7,51.1,46.4,31.1,77.5,726,1549,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04
vs Brighton,27,26.4,48.7,38,418,3420,38.0,44,30,74,38,6,7,51,2,35.3,29.8,23.3,53.2,587,1302,1.16,0.79,1.95,1.0,1.79,0.93,0.61,1.54,0.79,1.4
vs Burnley,25,26.6,58.3,38,418,3420,38.0,54,47,101,51,3,3,32,2,54.7,52.3,42.5,94.8,884,1665,1.42,1.24,2.66,1.34,2.58,1.44,1.12,2.56,1.38,2.5
vs Chelsea,27,26.3,38.6,38,418,3420,38.0,35,26,61,32,3,4,56,3,30.3,27.1,20.2,47.3,497,1062,0.92,0.68,1.61,0.84,1.53,0.8,0.53,1.33,0.71,1.25
vs Crystal Palace,24,26.4,59.9,38,418,3420,38.0,66,47,113,63,3,4,44,4,58.2,55.1,42.7,97.8,666,1807,1.74,1.24,2.97,1.66,2.89,1.53,1.12,2.66,1.45,2.57
vs Everton,29,26.4,53.5,38,418,3420,38.0,47,33,80,44,3,4,66,1,50.1,46.9,33.8,80.7,794,1664,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12
vs Fulham,28,26.6,50.1,38,418,3420,38.0,52,34,86,45,7,7,40,1,52.6,47.2,37.4,84.5,559,1327,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22
vs Leeds United,23,26.5,42.4,38,418,3420,38.0,52,36,88,44,8,9,49,2,57.9,50.7,39.3,90.0,720,1201,1.37,0.95,2.32,1.16,2.11,1.52,1.03,2.56,1.33,2.37
vs Leicester City,27,26.5,45.4,38,418,3420,38.0,48,29,77,44,4,4,61,1,46.0,42.9,33.0,75.9,567,1254,1.26,0.76,2.03,1.16,1.92,1.21,0.87,2.08,1.13,2.0
vs Liverpool,28,26.6,37.6,38,418,3420,38.0,42,29,71,38,4,8,56,2,43.0,36.9,27.1,64.0,539,972,1.11,0.76,1.87,1.0,1.76,1.13,0.71,1.84,0.97,1.68
vs Manchester City,24,26.4,36.1,38,418,3420,38.0,31,17,48,23,8,10,61,2,30.2,22.3,15.0,37.4,537,850,0.82,0.45,1.26,0.61,1.05,0.8,0.4,1.19,0.59,0.98
vs Manchester Utd,29,26.6,44.2,38,418,3420,38.0,42,28,70,38,4,4,64,3,41.4,38.4,28.7,67.0,573,1229,1.11,0.74,1.84,1.0,1.74,1.09,0.75,1.84,1.01,1.76
vs Newcastle Utd,27,26.6,61.8,38,418,3420,38.0,59,41,100,55,4,5,60,3,58.3,54.4,40.5,94.9,851,1771,1.55,1.08,2.63,1.45,2.53,1.54,1.07,2.6,1.43,2.5
vs Sheffield Utd,27,26.7,58.5,38,418,3420,38.0,60,45,105,57,3,4,39,1,62.2,59.1,45.0,104.1,828,1606,1.58,1.18,2.76,1.5,2.68,1.64,1.18,2.82,1.56,2.74
vs Southampton,29,26.5,47.8,38,418,3420,38.0,67,44,111,59,8,9,58,3,53.1,46.1,34.6,80.6,555,1407,1.76,1.16,2.92,1.55,2.71,1.4,0.91,2.31,1.21,2.12
vs Tottenham,24,26.5,48.3,38,418,3420,38.0,42,24,66,32,10,10,77,1,49.1,41.2,31.8,73.1,723,1514,1.11,0.63,1.74,0.84,1.47,1.29,0.84,2.13,1.09,1.92
vs West Brom,30,26.6,62.4,38,418,3420,38.0,73,52,125,66,7,11,50,1,67.9,59.3,44.1,103.4,931,1802,1.92,1.37,3.29,1.74,3.11,1.79,1.16,2.95,1.56,2.72
vs West Ham,24,26.6,57.1,38,418,3420,38.0,43,34,77,40,3,5,52,1,48.7,44.8,36.6,81.4,826,1698,1.13,0.89,2.03,1.05,1.95,1.28,0.96,2.24,1.18,2.14
vs Wolves,27,26.6,50.7,38,418,3420,38.0,49,34,83,42,7,8,62,6,49.5,43.2,31.1,74.3,699,1574,1.29,0.89,2.18,1.11,2.0,1.3,0.82,2.12,1.14,1.95
