Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,29,38.0,19093,17471,1569,387,14,111,652,657,166,70,55,9,15355,53,290
vs Aston Villa,24,38.0,18381,16552,1782,473,16,151,784,735,194,86,62,5,14251,47,321
vs Brighton,27,38.0,19240,17411,1775,459,16,102,625,752,165,74,40,2,15268,54,367
vs Burnley,25,38.0,21670,19780,1811,443,24,162,801,796,237,76,74,7,16991,79,323
vs Chelsea,27,38.0,16703,14805,1844,485,15,101,533,821,160,64,52,7,12794,54,381
vs Crystal Palace,24,38.0,23089,21282,1761,440,19,246,795,815,230,99,91,9,19019,46,374
vs Everton,29,38.0,21555,19747,1766,423,28,136,746,794,226,101,69,9,17667,42,364
vs Fulham,28,38.0,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326
vs Leeds United,23,38.0,15291,13322,1916,478,20,57,613,807,211,104,92,6,11293,53,312
vs Leicester City,27,38.0,17998,16109,1817,458,26,148,647,831,181,107,54,3,13803,72,352
vs Liverpool,28,38.0,15989,14280,1614,431,41,125,531,613,122,70,30,3,11890,95,313
vs Manchester City,24,38.0,15654,14096,1491,391,14,97,426,532,111,56,36,8,12270,67,251
vs Manchester Utd,29,38.0,18081,16354,1667,504,18,121,617,648,162,89,45,2,14217,60,345
vs Newcastle Utd,27,38.0,23488,21775,1643,420,19,136,844,723,226,108,80,5,19529,70,325
vs Sheffield Utd,27,38.0,23109,21188,1864,502,24,163,718,841,243,81,101,18,18988,57,340
vs Southampton,29,38.0,18167,16217,1861,465,25,120,667,873,196,72,55,11,13758,89,390
vs Tottenham,24,38.0,19385,17666,1643,463,11,109,754,656,201,92,65,12,15362,76,344
vs West Brom,30,38.0,23277,21362,1855,441,32,138,841,822,266,129,99,8,18892,60,355
vs West Ham,24,38.0,22463,20785,1619,425,34,114,740,670,182,85,59,9,18302,59,339
vs Wolves,27,38.0,19966,18258,1643,434,28,148,736,676,185,76,67,7,16265,65,290
