Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,32,38.0,966,25.42,736,75,51,71,22,11,131,3.45,105,5,4,13,4,0
Bologna,30,38.0,913,24.03,666,84,39,53,51,20,103,2.71,78,3,3,9,7,3
Cagliari,28,38.0,748,19.68,516,88,36,66,34,8,71,1.87,54,4,2,5,5,1
Como,38,38.0,920,24.21,673,84,44,66,40,13,79,2.08,66,2,5,3,1,2
Empoli,34,38.0,638,16.79,452,53,41,35,39,18,51,1.34,35,4,5,4,2,1
Fiorentina,34,38.0,799,21.03,579,59,51,50,45,15,100,2.63,65,8,9,10,8,0
Genoa,37,38.0,657,17.29,455,80,22,45,44,11,61,1.61,45,7,1,6,2,0
Hellas Verona,32,38.0,640,16.84,459,66,31,40,31,13,48,1.26,29,5,3,6,3,2
Inter,26,38.0,1028,27.05,781,97,31,62,42,15,133,3.5,99,10,5,10,8,1
Juventus,29,38.0,908,23.89,690,60,55,58,31,14,94,2.47,69,5,8,7,3,2
Lazio,27,38.0,954,25.11,712,67,49,76,32,18,103,2.71,76,4,7,10,5,1
Lecce,31,38.0,777,20.45,547,77,38,45,50,20,47,1.24,36,3,1,4,3,0
Milan,35,38.0,1011,26.61,749,70,72,62,39,19,107,2.82,69,7,6,14,8,3
Monza,36,38.0,588,15.47,437,56,25,34,31,5,43,1.13,32,3,1,6,0,1
Napoli,27,38.0,882,23.21,672,70,39,61,28,12,100,2.63,75,4,7,6,7,1
Parma,32,38.0,749,19.71,542,61,49,37,45,15,73,1.92,47,6,7,6,5,2
Roma,28,38.0,934,24.58,695,81,34,67,47,10,95,2.5,67,3,4,11,8,2
Torino,31,38.0,663,17.45,500,52,24,48,29,10,58,1.53,38,6,4,5,4,1
Udinese,31,38.0,757,19.92,557,67,31,52,31,19,61,1.61,33,4,5,14,3,2
Venezia,36,38.0,685,18.03,491,67,37,36,45,9,49,1.29,26,5,3,8,7,0
