Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,22,8.0,8,87,27,31.0,10.87,3.38,0.06,0.19,19.9,2,3,3,7.9,5.7,0.07,0.1,-0.7
Athletic Club,24,8.0,8,111,32,28.8,13.87,4.0,0.05,0.16,18.3,0,3,3,11.8,9.4,0.09,-3.8,-4.4
Atlético Madrid,21,8.0,14,100,40,40.0,12.5,5.0,0.13,0.33,16.6,4,1,2,13.3,11.8,0.12,0.7,1.2
Barcelona,24,8.0,21,161,64,39.8,20.12,8.0,0.12,0.31,17.8,6,1,2,18.0,16.5,0.11,3.0,3.5
Betis,25,8.0,12,117,36,30.8,14.63,4.5,0.1,0.33,18.1,3,0,0,11.2,11.2,0.1,0.8,0.8
Celta Vigo,24,8.0,7,98,29,29.6,12.25,3.62,0.06,0.21,18.3,1,1,1,9.3,8.6,0.09,-2.3,-2.6
Elche,26,8.0,11,82,30,36.6,10.25,3.75,0.13,0.37,16.6,1,0,1,9.5,8.8,0.11,1.5,2.2
Espanyol,22,9.0,13,121,41,33.9,13.44,4.56,0.09,0.27,16.9,4,2,3,17.1,14.7,0.12,-4.1,-3.7
Getafe,23,8.0,9,67,22,32.8,8.37,2.75,0.13,0.41,19.2,2,0,0,5.5,5.5,0.08,3.5,3.5
Girona,27,8.0,5,74,28,37.8,9.25,3.5,0.07,0.18,17.7,1,0,0,6.6,6.6,0.09,-1.6,-1.6
Levante,24,8.0,13,80,26,32.5,10.0,3.25,0.15,0.46,17.7,3,1,1,11.8,11.2,0.14,1.2,0.8
Mallorca,24,8.0,7,81,27,33.3,10.13,3.38,0.07,0.22,18.5,2,1,1,6.3,5.5,0.07,0.7,0.5
Osasuna,20,8.0,7,70,21,30.0,8.75,2.62,0.09,0.29,16.7,2,1,1,7.9,7.2,0.1,-0.9,-1.2
Oviedo,26,9.0,4,78,25,32.1,8.67,2.78,0.05,0.16,18.5,1,0,1,7.1,6.3,0.08,-3.1,-2.3
Rayo Vallecano,23,8.0,8,101,32,31.7,12.62,4.0,0.07,0.22,19.1,4,1,1,12.0,11.2,0.11,-4.0,-4.2
Real Madrid,22,8.0,19,146,49,33.6,18.25,6.12,0.11,0.33,18.3,4,3,3,17.6,15.3,0.11,1.4,0.7
Real Sociedad,25,8.0,7,113,32,28.3,14.12,4.0,0.05,0.19,17.1,3,1,1,10.4,9.7,0.09,-3.4,-3.7
Sevilla,28,8.0,14,85,26,30.6,10.62,3.25,0.15,0.5,17.8,2,1,1,8.0,7.2,0.08,6.0,5.8
Valencia,20,8.0,10,83,25,30.1,10.37,3.12,0.12,0.4,17.9,2,0,1,8.9,8.1,0.1,1.1,1.9
Villarreal,25,8.0,14,121,41,33.9,15.12,5.12,0.12,0.34,17.0,1,0,0,13.3,13.3,0.11,0.7,0.7
