Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,30,38.0,44,444,139,31.3,11.68,3.66,0.08,0.26,17.9,15,8,8,44.7,38.5,0.09,-0.7,-2.5
vs Almería,35,38.0,75,584,195,33.4,15.37,5.13,0.12,0.35,16.9,18,6,9,61.6,54.5,0.09,13.4,14.5
vs Athletic Club,27,38.0,33,405,130,32.1,10.66,3.42,0.08,0.25,18.3,18,1,5,41.3,37.5,0.09,-8.3,-5.5
vs Atlético Madrid,27,38.0,43,451,143,31.7,11.87,3.76,0.09,0.29,17.9,9,1,2,39.5,37.9,0.09,3.5,4.1
vs Barcelona,29,38.0,44,411,139,33.8,10.82,3.66,0.1,0.3,17.4,8,2,2,41.6,40.1,0.1,2.4,1.9
vs Betis,35,38.0,42,441,150,34.0,11.61,3.95,0.08,0.23,18.2,18,7,8,50.2,44.0,0.1,-8.2,-9.0
vs Cádiz,34,38.0,54,508,173,34.1,13.37,4.55,0.1,0.3,18.3,26,2,2,52.3,50.7,0.1,1.7,1.3
vs Celta Vigo,31,38.0,54,470,157,33.4,12.37,4.13,0.1,0.31,16.6,13,6,8,54.6,48.4,0.11,-0.6,-0.4
vs Getafe,33,38.0,54,448,167,37.3,11.79,4.39,0.11,0.29,17.7,15,5,7,53.8,48.3,0.11,0.2,0.7
vs Girona,25,38.0,46,503,162,32.2,13.24,4.26,0.08,0.25,17.5,13,5,7,54.3,48.9,0.1,-8.3,-7.9
vs Granada,40,38.0,77,488,198,40.6,12.84,5.21,0.15,0.36,17.5,20,5,6,64.2,59.5,0.12,12.8,12.5
vs Las Palmas,29,38.0,44,433,148,34.2,11.39,3.89,0.09,0.26,17.4,15,5,9,56.6,49.7,0.12,-12.6,-10.7
vs Mallorca,25,38.0,43,474,143,30.2,12.47,3.76,0.08,0.27,19.6,30,4,5,42.9,39.0,0.08,0.1,0.0
vs Osasuna,29,38.0,56,436,150,34.4,11.47,3.95,0.13,0.37,16.7,15,1,2,49.9,48.5,0.11,6.1,6.5
vs Rayo Vallecano,26,38.0,46,441,149,33.8,11.61,3.92,0.1,0.3,17.4,12,1,2,44.6,43.1,0.1,1.4,1.9
vs Real Madrid,27,38.0,25,392,117,29.8,10.32,3.08,0.06,0.21,17.9,7,1,1,35.4,34.7,0.09,-10.4,-10.7
vs Real Sociedad,31,38.0,38,388,128,33.0,10.21,3.37,0.08,0.25,18.0,24,6,7,41.3,36.0,0.1,-3.3,-4.0
vs Sevilla,35,38.0,52,496,170,34.3,13.05,4.47,0.09,0.28,17.6,16,5,5,55.9,52.1,0.11,-3.9,-5.1
vs Valencia,29,38.0,43,407,154,37.8,10.71,4.05,0.1,0.26,17.2,22,3,6,47.6,42.9,0.11,-4.6,-2.9
vs Villarreal,32,38.0,64,580,208,35.9,15.26,5.47,0.1,0.28,17.6,21,6,6,58.7,54.0,0.09,5.3,4.0
