Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,29,34.0,726,21.35,503,78,35,58,39,13,78,2.29,58,6,2,8,4,0
Bayern Munich,30,34.0,1156,34.0,875,86,69,72,38,16,166,4.88,126,9,11,11,6,3
Bochum,25,34.0,884,26.0,561,134,38,81,55,15,72,2.12,43,8,5,9,6,1
Darmstadt 98,32,34.0,723,21.26,522,68,36,48,32,17,50,1.47,38,3,1,4,3,1
Dortmund,32,34.0,909,26.74,668,68,56,62,42,13,121,3.56,84,8,7,8,10,4
Eint Frankfurt,34,34.0,688,20.24,493,63,44,48,31,9,81,2.38,63,2,3,9,3,1
Freiburg,25,34.0,714,21.0,538,55,25,51,36,9,77,2.26,51,5,1,10,8,2
Gladbach,27,34.0,806,23.71,572,85,47,59,29,14,98,2.88,71,9,4,8,4,2
Heidenheim,22,34.0,666,19.59,442,95,30,54,34,11,81,2.38,57,9,4,5,5,1
Hoffenheim,30,34.0,813,23.91,608,68,38,48,38,13,110,3.24,78,5,11,8,6,2
Köln,26,34.0,780,22.94,551,76,36,59,47,11,45,1.32,22,3,3,10,7,0
Leverkusen,24,34.0,1117,32.85,854,74,77,54,47,11,159,4.68,115,12,13,9,10,0
Mainz 05,30,34.0,816,24.0,531,104,48,60,61,12,65,1.91,46,7,4,5,2,1
RB Leipzig,26,34.0,934,27.47,691,70,61,57,43,12,126,3.71,97,6,8,9,6,0
Stuttgart,27,34.0,960,28.24,738,52,65,60,27,18,138,4.06,108,2,14,9,4,1
Union Berlin,30,34.0,702,20.65,484,87,36,51,29,15,60,1.76,38,6,7,4,4,1
Werder Bremen,30,34.0,721,21.21,550,56,33,36,36,10,82,2.41,61,5,3,5,8,0
Wolfsburg,28,34.0,724,21.29,544,56,32,50,38,4,73,2.15,58,1,3,8,3,0
