Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,22,6.0,11,70,25,35.7,11.67,4.17,0.16,0.44,17.2,3,0,0,6.3,6.3,0.09,4.7,4.7
Bayern Munich,20,6.0,25,113,52,46.0,18.83,8.67,0.19,0.4,17.7,4,4,4,16.4,13.4,0.12,8.6,7.6
Dortmund,21,6.0,12,72,31,43.1,12.0,5.17,0.17,0.39,15.8,1,0,1,10.1,9.3,0.13,1.9,2.7
Eint Frankfurt,22,6.0,17,85,30,35.3,14.17,5.0,0.19,0.53,17.3,1,1,1,10.1,9.3,0.11,6.9,6.7
Freiburg,23,6.0,8,67,16,23.9,11.17,2.67,0.07,0.31,17.1,2,3,3,9.2,6.8,0.11,-1.2,-1.8
Gladbach,23,7.0,6,92,34,37.0,13.14,4.86,0.07,0.18,17.0,2,0,0,8.1,8.1,0.09,-2.1,-2.1
Hamburger SV,24,6.0,6,74,29,39.2,12.33,4.83,0.08,0.21,17.7,3,0,0,6.4,6.4,0.09,-0.4,-0.4
Heidenheim,23,6.0,4,54,19,35.2,9.0,3.17,0.07,0.21,16.6,2,0,0,6.8,6.8,0.13,-2.8,-2.8
Hoffenheim,20,6.0,9,77,27,35.1,12.83,4.5,0.09,0.26,16.7,2,2,2,9.0,7.4,0.1,0.0,-0.4
Köln,22,6.0,11,82,26,31.7,13.67,4.33,0.13,0.42,17.2,2,0,0,9.0,9.0,0.11,2.0,2.0
Leverkusen,23,6.0,12,71,26,36.6,11.83,4.33,0.14,0.38,18.6,5,2,2,10.1,8.5,0.12,1.9,1.5
Mainz 05,23,6.0,5,79,16,20.3,13.17,2.67,0.05,0.25,15.5,1,1,1,8.1,7.3,0.09,-3.1,-3.3
RB Leipzig,21,6.0,8,100,26,26.0,16.67,4.33,0.08,0.31,16.8,5,0,1,11.1,10.4,0.11,-3.1,-2.4
St. Pauli,17,6.0,8,74,28,37.8,12.33,4.67,0.09,0.25,18.9,3,1,2,7.0,5.4,0.07,1.0,1.6
Stuttgart,22,6.0,8,89,30,33.7,14.83,5.0,0.08,0.23,18.4,0,1,2,7.9,6.3,0.07,0.1,0.7
Union Berlin,19,7.0,11,87,25,28.7,12.43,3.57,0.13,0.44,15.9,1,0,1,9.1,8.3,0.1,1.9,2.7
Werder Bremen,22,6.0,9,67,27,40.3,11.17,4.5,0.1,0.26,19.2,3,2,3,8.7,6.3,0.1,0.3,0.7
Wolfsburg,21,6.0,8,84,21,25.0,14.0,3.5,0.08,0.33,16.9,2,1,1,9.5,8.7,0.1,-1.5,-1.7
