Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Augsburg,29,34.0,58,497,174,35.0,14.62,5.12,0.1,0.29,17.5,5,7,10,57.4,49.7,0.1,0.6,1.3
vs Bayern Munich,30,34.0,45,350,120,34.3,10.29,3.53,0.12,0.35,19.1,8,3,4,32.1,29.0,0.08,12.9,13.0
vs Bochum,25,34.0,70,523,178,34.0,15.38,5.24,0.12,0.34,16.6,7,9,11,63.9,55.4,0.11,6.1,5.6
vs Darmstadt 98,32,34.0,84,576,213,37.0,16.94,6.26,0.14,0.39,17.0,26,1,2,73.1,71.6,0.13,10.9,11.4
vs Dortmund,32,34.0,41,471,139,29.5,13.85,4.09,0.08,0.26,17.1,18,5,6,52.0,47.8,0.1,-11.0,-11.8
vs Eint Frankfurt,34,34.0,50,408,135,33.1,12.0,3.97,0.1,0.3,17.6,10,9,11,52.1,43.3,0.11,-2.1,-2.3
vs Freiburg,25,34.0,57,504,153,30.4,14.82,4.5,0.11,0.35,17.6,10,3,5,50.5,46.5,0.09,6.5,7.5
vs Gladbach,27,34.0,67,575,201,35.0,16.91,5.91,0.11,0.3,17.6,22,6,6,54.2,49.5,0.09,12.8,11.5
vs Heidenheim,22,34.0,52,515,166,32.2,15.15,4.88,0.09,0.27,16.8,19,7,10,61.8,54.1,0.11,-9.8,-9.1
vs Hoffenheim,30,34.0,65,567,206,36.3,16.68,6.06,0.11,0.31,17.1,17,2,5,60.8,56.9,0.1,4.2,6.1
vs Köln,26,34.0,60,505,165,32.7,14.85,4.85,0.11,0.35,15.9,19,3,3,64.6,62.2,0.13,-4.6,-5.2
vs Leverkusen,24,34.0,24,291,105,36.1,8.56,3.09,0.08,0.23,17.5,5,0,0,29.9,29.9,0.1,-5.9,-5.9
vs Mainz 05,30,34.0,50,408,142,34.8,12.0,4.18,0.12,0.33,17.6,10,3,4,44.5,41.4,0.11,5.5,5.6
vs RB Leipzig,26,34.0,38,398,113,28.4,11.71,3.32,0.09,0.3,17.4,9,4,5,40.1,36.4,0.09,-2.1,-2.4
vs Stuttgart,27,34.0,36,375,126,33.6,11.03,3.71,0.09,0.26,17.1,11,3,3,38.1,35.8,0.1,-2.1,-2.8
vs Union Berlin,30,34.0,57,476,161,33.8,14.0,4.74,0.11,0.32,17.4,15,5,7,50.5,45.2,0.1,6.5,6.8
vs Werder Bremen,30,34.0,53,529,160,30.2,15.56,4.71,0.09,0.29,17.0,11,6,6,56.5,51.9,0.1,-3.5,-4.9
vs Wolfsburg,28,34.0,53,428,149,34.8,12.59,4.38,0.12,0.34,17.5,16,2,3,44.7,42.4,0.1,8.3,8.6
