Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Alavés,30,27.5,38,3420,90,100,38.0,418,82,253,163,20,241,1.71,57,36,21,0.55,49.9,42.6,7.3,0.19
vs Athletic Club,27,27.6,38,3420,90,100,38.0,418,81,251,163,21,240,1.45,42,46,-4,-0.11,37.5,42.8,-5.3,-0.14
vs Atlético Madrid,25,27.5,38,3420,90,100,38.0,418,82,258,157,20,251,0.53,25,67,-42,-1.11,37.1,52.8,-15.7,-0.41
vs Barcelona,25,27.4,38,3420,90,100,38.0,418,82,248,166,23,249,0.74,38,85,-47,-1.24,40.8,73.5,-32.7,-0.86
vs Betis,25,27.4,38,3420,90,100,38.0,418,82,255,165,23,246,1.13,50,50,0,0.0,46.8,49.1,-2.3,-0.06
vs Cádiz,34,27.5,38,3420,90,100,38.0,418,80,250,166,22,246,1.55,58,36,22,0.58,55.4,34.7,20.7,0.54
vs Celta Vigo,30,27.4,38,3420,90,100,38.0,418,83,258,158,24,250,1.32,57,55,2,0.05,51.0,50.4,0.6,0.02
vs Eibar,30,27.5,38,3420,90,100,38.0,418,82,256,160,20,243,1.89,52,29,23,0.61,45.7,45.2,0.5,0.01
vs Elche,30,27.4,38,3420,90,100,38.0,418,82,259,160,21,251,1.74,55,34,21,0.55,60.9,29.9,31.0,0.82
vs Getafe,31,27.4,38,3420,90,100,38.0,418,83,256,158,21,258,1.71,43,28,15,0.39,40.3,34.4,5.9,0.16
vs Granada,34,27.6,38,3420,90,100,38.0,418,80,255,159,22,258,1.61,65,47,18,0.47,56.2,41.1,15.0,0.4
vs Huesca,27,27.3,38,3420,90,100,38.0,418,82,246,172,20,238,1.76,53,34,19,0.5,48.1,38.7,9.4,0.25
vs Levante,29,27.4,38,3420,90,100,38.0,418,81,248,164,19,246,1.55,57,46,11,0.29,53.5,40.4,13.1,0.34
vs Osasuna,28,27.4,38,3420,90,100,38.0,418,81,251,167,20,246,1.55,48,37,11,0.29,47.8,38.7,9.0,0.24
vs Real Madrid,30,27.5,38,3420,90,100,38.0,418,82,253,164,21,250,0.55,28,67,-39,-1.03,37.6,61.5,-23.9,-0.63
vs Real Sociedad,30,27.4,38,3420,90,100,38.0,418,81,251,163,24,243,1.08,38,59,-21,-0.55,39.2,60.7,-21.5,-0.57
vs Sevilla,26,27.3,38,3420,90,100,38.0,418,81,258,161,21,237,0.84,33,53,-20,-0.53,34.8,54.4,-19.6,-0.52
vs Valencia,30,27.6,38,3420,90,100,38.0,418,83,250,166,20,243,1.53,53,50,3,0.08,52.2,42.6,9.6,0.25
vs Valladolid,32,27.4,38,3420,90,100,38.0,418,81,259,157,20,251,1.76,57,34,23,0.61,52.9,40.1,12.8,0.34
vs Villarreal,29,27.5,38,3420,90,100,38.0,418,82,258,158,21,256,1.13,44,60,-16,-0.42,42.5,56.4,-13.9,-0.37
