Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atalanta,3,38,38,3420,38.0,65,1.71,172,110,65.1,11,11,16,9,23.7,6,5,0,1,0.0
vs Bologna,3,38,38,3420,38.0,44,1.16,147,104,72.8,16,10,12,12,31.6,5,4,0,1,0.0
vs Cagliari,2,38,38,3419,38.0,34,0.89,121,86,74.4,20,12,6,14,36.8,4,3,1,0,25.0
vs Empoli,1,38,38,3420,38.0,50,1.32,158,111,72.8,17,11,10,9,23.7,7,7,0,0,0.0
vs Fiorentina,2,38,38,3420,38.0,59,1.55,183,122,72.7,14,5,19,7,18.4,12,9,2,1,18.2
vs Genoa,2,38,38,3420,38.0,27,0.71,113,86,81.4,18,16,4,20,52.6,7,6,1,0,14.3
vs Hellas Verona,3,38,38,3420,38.0,65,1.71,159,96,63.5,13,11,14,6,15.8,8,7,0,1,0.0
vs Inter,2,38,38,3420,38.0,84,2.21,248,163,69.0,4,9,25,3,7.9,11,7,2,2,22.2
vs Juventus,3,38,38,3420,38.0,57,1.5,171,115,69.6,8,10,20,5,13.2,6,5,0,1,0.0
vs Lazio,2,38,38,3420,38.0,77,2.03,194,118,63.9,10,10,18,6,15.8,9,7,2,0,22.2
vs Milan,2,38,38,3420,38.0,69,1.82,193,126,66.8,4,8,26,4,10.5,8,5,1,2,16.7
vs Napoli,3,38,38,3420,38.0,74,1.95,199,122,67.8,7,7,24,4,10.5,14,10,3,1,23.1
vs Roma,1,38,38,3418,38.0,59,1.55,193,133,73.1,11,9,18,7,18.4,9,7,2,0,22.2
vs Salernitana,3,38,38,3420,38.0,33,0.87,135,102,78.5,21,10,7,16,42.1,5,4,1,0,20.0
vs Sampdoria,3,38,38,3420,38.0,46,1.21,122,78,63.9,22,6,10,12,31.6,4,2,2,0,50.0
vs Sassuolo,3,38,38,3420,38.0,64,1.68,211,151,73.0,14,11,13,6,15.8,7,7,0,0,0.0
vs Spezia,3,38,38,3420,38.0,41,1.08,131,92,71.0,22,6,10,10,26.3,5,3,1,1,25.0
vs Torino,3,38,38,3420,38.0,46,1.21,148,105,73.0,14,11,13,12,31.6,6,6,0,0,0.0
vs Udinese,2,38,38,3420,38.0,61,1.61,185,126,68.6,13,14,11,9,23.7,4,3,1,0,25.0
vs Venezia,3,38,38,3420,38.0,34,0.89,118,82,73.7,23,9,6,13,34.2,5,3,2,0,40.0
