Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,27,38.0,83,1,0,406,438,50,578,360,458,1,8,2,2239,483,575,45.7
vs Bologna,27,38.0,84,2,1,451,452,58,665,320,325,6,6,1,2005,447,369,54.8
vs Cremonese,33,38.0,66,1,1,434,432,72,696,307,331,4,7,1,2131,730,562,56.5
vs Empoli,32,38.0,84,5,2,489,422,75,950,330,387,4,2,2,1953,519,434,54.5
vs Fiorentina,30,38.0,103,7,2,542,459,93,446,331,339,5,6,2,1910,517,588,46.8
vs Hellas Verona,36,38.0,69,5,0,410,518,44,634,272,346,2,1,2,2125,735,810,47.6
vs Inter,25,38.0,89,1,0,436,412,36,558,330,262,3,5,3,1767,415,500,45.4
vs Juventus,29,38.0,74,2,0,427,412,53,706,362,349,2,6,0,1893,477,486,49.5
vs Lazio,24,38.0,108,7,5,500,376,63,641,329,301,2,8,1,2041,381,399,48.8
vs Lecce,29,38.0,90,2,0,461,521,64,677,306,327,5,6,2,2030,728,567,56.2
vs Milan,30,38.0,113,1,0,462,430,41,539,335,381,5,5,3,1972,478,561,46.0
vs Monza,31,38.0,78,5,3,534,466,55,704,316,323,1,6,2,1983,441,448,49.6
vs Napoli,27,38.0,92,4,3,495,363,50,491,331,406,1,10,2,1901,403,483,45.5
vs Roma,30,38.0,124,8,3,533,417,22,573,290,388,2,10,0,1979,429,543,44.1
vs Salernitana,30,38.0,74,6,3,478,447,72,683,299,331,11,2,2,2106,585,528,52.6
vs Sampdoria,40,38.0,79,1,1,530,480,90,719,317,354,8,2,1,2079,636,617,50.8
vs Sassuolo,31,38.0,86,4,1,479,376,119,671,306,360,2,10,1,1928,438,375,53.9
vs Spezia,34,38.0,61,2,1,406,478,76,726,354,367,5,4,2,2038,570,535,51.6
vs Torino,28,38.0,66,1,1,413,476,42,615,306,312,4,2,1,1940,629,590,51.6
vs Udinese,30,38.0,86,3,1,505,458,61,703,301,389,5,2,1,1933,406,477,46.0
