Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,29,26.0,34,3060,90,100,34.0,374,81,214,158,21,143,1.15,50,60,-10,-0.29,46.1,57.4,-11.3,-0.33
Bayern Munich,30,27.4,34,3060,90,100,34.0,374,82,231,143,21,134,2.12,94,45,49,1.44,85.2,32.1,53.0,1.56
Bochum,25,29.1,34,3060,90,100,34.0,374,82,227,146,21,160,0.97,42,74,-32,-0.94,44.5,63.9,-19.3,-0.57
Darmstadt 98,32,27.1,34,3060,90,100,34.0,374,80,207,163,22,141,0.5,30,86,-56,-1.65,32.3,73.1,-40.8,-1.2
Dortmund,32,26.8,34,3060,90,100,34.0,374,80,218,153,23,153,1.85,68,43,25,0.74,63.5,52.0,11.5,0.34
Eint Frankfurt,34,25.3,34,3060,90,100,34.0,374,82,206,164,18,142,1.38,51,50,1,0.03,46.2,52.1,-5.9,-0.17
Freiburg,25,27.0,34,3060,90,100,34.0,374,83,226,144,17,139,1.24,45,58,-13,-0.38,49.4,50.5,-1.1,-0.03
Gladbach,27,25.4,34,3060,90,100,34.0,374,82,207,167,18,138,1.0,56,67,-11,-0.32,46.5,54.2,-7.8,-0.23
Heidenheim,22,26.7,34,3060,90,100,34.0,374,82,219,156,18,149,1.24,50,55,-5,-0.15,39.4,61.8,-22.5,-0.66
Hoffenheim,30,27.7,34,3060,90,100,34.0,374,81,217,153,20,151,1.35,66,66,0,0.0,53.6,60.8,-7.2,-0.21
Köln,26,25.4,34,3060,90,100,34.0,374,81,212,160,20,145,0.79,28,60,-32,-0.94,39.3,64.6,-25.3,-0.74
Leverkusen,24,26.2,34,3060,90,100,34.0,374,85,232,142,14,164,2.65,89,24,65,1.91,73.6,29.9,43.7,1.29
Mainz 05,30,26.7,34,3060,90,100,34.0,374,83,224,148,18,148,1.03,39,51,-12,-0.35,44.6,44.5,0.2,0.01
RB Leipzig,26,25.6,34,3060,90,100,34.0,374,83,210,165,16,139,1.91,77,39,38,1.12,65.6,40.1,25.5,0.75
Stuttgart,27,25.0,34,3060,90,100,34.0,374,83,216,157,16,148,2.15,78,39,39,1.15,70.9,38.1,32.7,0.96
Union Berlin,30,28.1,34,3060,90,100,34.0,374,79,201,167,22,136,0.97,33,58,-25,-0.74,40.1,50.5,-10.4,-0.31
Werder Bremen,30,27.0,34,3060,90,100,34.0,374,84,219,153,15,142,1.24,48,54,-6,-0.18,46.9,56.5,-9.6,-0.28
Wolfsburg,28,25.6,34,3060,90,100,34.0,374,82,215,155,19,149,1.09,41,56,-15,-0.44,39.2,44.7,-5.5,-0.16
