Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,29,38.0,736,19.37,496,85,62,39,47,7,81,2.13,52,5,8,6,10,0
vs Athletic Club,31,38.0,588,15.47,408,66,39,34,30,11,48,1.26,28,5,2,5,7,1
vs Atlético Madrid,24,38.0,678,17.84,506,55,45,30,36,6,45,1.18,27,4,3,4,7,0
vs Barcelona,28,38.0,510,13.42,385,48,23,22,19,13,73,1.92,59,3,3,2,4,2
vs Betis,36,38.0,735,19.34,533,67,46,48,30,11,85,2.24,55,7,7,7,7,2
vs Celta Vigo,30,38.0,719,18.92,532,76,41,41,22,7,92,2.42,69,6,7,8,2,0
vs Espanyol,27,38.0,1024,26.95,757,88,51,61,49,18,92,2.42,64,4,11,5,7,1
vs Getafe,30,38.0,647,17.03,473,68,34,30,36,6,68,1.79,49,4,3,5,7,0
vs Girona,30,38.0,785,20.66,575,61,54,40,33,22,99,2.61,72,6,5,9,4,3
vs Las Palmas,34,38.0,937,24.66,705,69,50,52,46,15,102,2.68,79,4,5,6,6,2
vs Leganés,26,38.0,1015,26.71,737,100,56,65,39,18,92,2.42,56,9,5,11,10,1
vs Mallorca,28,38.0,1007,26.5,755,87,51,64,34,16,73,1.92,57,3,4,5,2,2
vs Osasuna,25,38.0,843,22.18,623,64,54,33,53,16,89,2.34,73,1,3,3,8,1
vs Rayo Vallecano,26,38.0,841,22.13,577,91,59,44,49,21,82,2.16,60,6,8,3,5,0
vs Real Madrid,30,38.0,717,18.87,549,53,32,44,28,11,64,1.68,46,6,3,6,3,0
vs Real Sociedad,31,38.0,743,19.55,532,72,38,43,44,14,76,2.0,56,3,3,10,4,0
vs Sevilla,35,38.0,731,19.24,531,69,41,38,42,10,97,2.55,72,4,5,6,10,0
vs Valencia,32,38.0,741,19.5,535,76,37,46,34,13,88,2.32,68,3,3,7,5,2
vs Valladolid,38,38.0,1068,28.11,802,66,62,69,52,17,160,4.21,121,5,12,13,8,1
vs Villarreal,31,38.0,868,22.84,644,69,46,54,43,12,87,2.29,58,5,4,9,9,2
