Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,21,26.6,42.4,7,77,630,7.0,3,2,5,3,0,0,12,0,4.3,4.3,3.8,8.1,99,172,0.43,0.29,0.71,0.43,0.71,0.62,0.54,1.16,0.62,1.16
vs Aston Villa,23,27.3,42.9,7,77,630,7.0,7,4,11,6,1,1,15,1,9.7,8.9,7.4,16.3,103,195,1.0,0.57,1.57,0.86,1.43,1.39,1.05,2.44,1.28,2.33
vs Bournemouth,23,27.2,49.1,7,77,630,7.0,8,6,14,8,0,0,15,1,6.3,6.3,5.4,11.7,108,230,1.14,0.86,2.0,1.14,2.0,0.91,0.76,1.67,0.91,1.67
vs Brentford,20,26.4,60.9,7,77,630,7.0,11,7,18,10,1,2,16,0,9.6,8.0,6.4,14.4,141,275,1.57,1.0,2.57,1.43,2.43,1.37,0.91,2.28,1.15,2.06
vs Brighton,20,26.4,53.0,7,77,630,7.0,8,5,13,7,1,1,20,1,9.1,8.3,6.2,14.5,123,236,1.14,0.71,1.86,1.0,1.71,1.3,0.88,2.18,1.19,2.07
vs Burnley,21,26.2,64.4,7,77,630,7.0,12,8,20,10,2,2,9,0,13.4,11.9,9.3,21.2,208,343,1.71,1.14,2.86,1.43,2.57,1.91,1.33,3.25,1.7,3.03
vs Chelsea,25,26.9,40.1,7,77,630,7.0,9,9,18,9,0,0,17,1,9.7,9.7,8.6,18.3,106,218,1.29,1.29,2.57,1.29,2.57,1.38,1.22,2.61,1.38,2.61
vs Crystal Palace,20,26.8,58.7,7,77,630,7.0,5,2,7,4,1,1,16,0,8.7,7.9,5.8,13.7,116,323,0.71,0.29,1.0,0.57,0.86,1.25,0.83,2.07,1.13,1.96
vs Everton,19,26.8,53.7,7,77,630,7.0,7,5,12,6,1,2,15,0,9.5,8.1,5.7,13.8,96,265,1.0,0.71,1.71,0.86,1.57,1.36,0.81,2.17,1.16,1.97
vs Fulham,21,26.1,49.4,7,77,630,7.0,10,7,17,8,2,3,10,0,8.9,6.6,5.1,11.7,127,261,1.43,1.0,2.43,1.14,2.14,1.27,0.73,2.0,0.94,1.67
vs Leeds United,21,26.6,54.7,7,77,630,7.0,10,7,17,9,1,1,10,0,7.9,7.1,5.0,12.1,116,286,1.43,1.0,2.43,1.29,2.29,1.13,0.72,1.84,1.01,1.73
vs Liverpool,22,26.8,38.4,7,77,630,7.0,9,7,16,9,0,0,12,2,7.9,7.9,6.4,14.3,105,186,1.29,1.0,2.29,1.29,2.29,1.13,0.91,2.04,1.13,2.04
vs Manchester City,22,26.6,43.0,7,77,630,7.0,6,4,10,5,1,1,14,0,7.1,6.3,4.4,10.8,102,196,0.86,0.57,1.43,0.71,1.29,1.01,0.64,1.65,0.91,1.54
vs Manchester Utd,20,26.1,47.0,7,77,630,7.0,11,8,19,11,0,0,21,1,9.9,9.9,7.4,17.3,95,216,1.57,1.14,2.71,1.57,2.71,1.41,1.06,2.47,1.41,2.47
vs Newcastle Utd,21,26.7,50.7,7,77,630,7.0,5,5,10,5,0,0,16,1,4.7,4.7,3.9,8.7,91,249,0.71,0.71,1.43,0.71,1.43,0.68,0.56,1.24,0.68,1.24
vs Nott'ham Forest,24,26.5,44.0,7,77,630,7.0,12,8,20,9,3,3,9,0,12.4,10.1,8.7,18.8,121,249,1.71,1.14,2.86,1.29,2.43,1.77,1.24,3.01,1.45,2.69
vs Sunderland,23,27.0,56.1,7,77,630,7.0,6,5,11,6,0,1,10,0,8.7,7.9,5.4,13.3,118,314,0.86,0.71,1.57,0.86,1.57,1.24,0.77,2.01,1.13,1.9
vs Tottenham,19,26.7,44.4,7,77,630,7.0,5,2,7,5,0,0,10,1,8.7,8.7,6.4,15.1,83,213,0.71,0.29,1.0,0.71,1.0,1.25,0.91,2.16,1.25,2.16
vs West Ham,24,26.2,54.1,7,77,630,7.0,16,10,26,15,1,1,8,0,11.1,10.3,7.7,18.0,135,285,2.29,1.43,3.71,2.14,3.57,1.58,1.1,2.68,1.47,2.57
vs Wolves,23,27.0,52.9,7,77,630,7.0,14,11,25,14,0,0,14,0,9.4,9.4,8.0,17.4,130,307,2.0,1.57,3.57,2.0,3.57,1.34,1.15,2.49,1.34,2.49
