Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,30,38.0,80,3,1,514,477,107,731,342,278,3,8,1,1922,602,831,42.0
vs Athletic Club,27,38.0,80,5,4,503,452,83,753,484,303,5,5,3,1861,601,656,47.8
vs Atlético Madrid,25,38.0,59,3,0,486,455,30,708,454,315,3,7,2,1939,482,530,47.6
vs Barcelona,25,38.0,76,6,2,546,333,48,514,517,320,5,8,5,1846,317,395,44.5
vs Betis,25,38.0,83,2,0,507,492,125,654,364,336,6,11,0,1936,628,613,50.6
vs Cádiz,34,38.0,87,4,4,509,399,101,805,302,300,5,4,3,1929,753,687,52.3
vs Celta Vigo,30,38.0,102,6,4,529,607,51,741,489,288,6,7,0,1988,669,609,52.3
vs Eibar,30,38.0,66,2,1,417,461,128,545,406,319,5,9,0,1962,917,908,50.2
vs Elche,30,38.0,79,2,1,496,506,64,693,406,347,6,3,1,1977,539,488,52.5
vs Getafe,31,38.0,106,6,5,549,589,87,566,390,313,6,5,1,1948,946,840,53.0
vs Granada,34,38.0,104,6,3,493,501,53,764,359,313,10,5,0,1862,851,675,55.8
vs Huesca,27,38.0,64,2,1,554,496,74,691,323,309,3,4,2,1870,598,580,50.8
vs Levante,29,38.0,87,7,2,430,483,99,683,433,334,2,6,1,1964,522,455,53.4
vs Osasuna,28,38.0,65,0,0,439,507,96,800,338,309,6,6,1,2115,806,996,44.7
vs Real Madrid,30,38.0,87,3,1,493,384,39,637,380,295,4,3,3,1748,381,444,46.2
vs Real Sociedad,30,38.0,91,6,2,495,532,89,533,379,311,4,12,1,1875,669,663,50.2
vs Sevilla,26,38.0,109,1,0,510,458,34,680,407,306,4,7,1,1769,534,615,46.5
vs Valencia,30,38.0,99,5,2,560,433,73,858,391,295,4,10,2,1941,575,602,48.9
vs Valladolid,32,38.0,96,2,0,543,474,70,775,368,314,4,8,0,1948,818,628,56.6
vs Villarreal,29,38.0,78,4,2,496,424,76,777,416,324,7,13,3,1917,496,489,50.4
