Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,33,38.0,65,509,159,31.2,13.39,4.18,0.12,0.37,17.3,20,6,9,57.0,50.0,0.1,8.0,9.0
vs Athletic Club,26,38.0,35,440,128,29.1,11.58,3.37,0.07,0.25,18.5,20,3,3,38.4,36.0,0.08,-3.4,-4.0
vs Atlético Madrid,26,38.0,40,349,98,28.1,9.18,2.58,0.09,0.34,19.2,17,7,8,33.4,27.4,0.08,6.6,5.6
vs Barcelona,38,38.0,38,349,120,34.4,9.18,3.16,0.1,0.3,18.1,13,2,3,34.4,32.1,0.09,3.6,3.9
vs Betis,31,38.0,38,430,129,30.0,11.32,3.39,0.08,0.27,17.3,11,3,3,43.4,41.1,0.1,-5.4,-6.1
vs Cádiz,33,38.0,51,461,157,34.1,12.13,4.13,0.09,0.25,18.5,20,11,13,48.3,38.2,0.08,2.7,1.8
vs Celta Vigo,25,38.0,41,397,128,32.2,10.45,3.37,0.09,0.29,18.0,16,4,8,45.7,39.4,0.1,-4.7,-2.4
vs Elche,28,38.0,52,513,166,32.4,13.5,4.37,0.09,0.27,18.0,23,7,9,59.1,52.1,0.1,-7.1,-7.1
vs Espanyol,34,38.0,51,497,165,33.2,13.08,4.34,0.09,0.28,17.2,14,4,5,51.2,47.3,0.1,-0.2,-0.3
vs Getafe,31,38.0,40,408,129,31.6,10.74,3.39,0.09,0.29,19.0,22,2,4,38.6,35.5,0.09,1.4,2.5
vs Granada,32,38.0,59,555,184,33.2,14.61,4.84,0.09,0.28,17.9,15,7,9,61.2,54.6,0.1,-2.2,-2.6
vs Levante,31,38.0,76,508,197,38.8,13.37,5.18,0.14,0.36,17.8,15,5,6,55.0,50.2,0.1,21.0,20.8
vs Mallorca,33,38.0,59,460,144,31.3,12.11,3.79,0.12,0.37,17.8,14,6,8,49.3,43.0,0.1,9.7,10.0
vs Osasuna,29,38.0,49,437,144,33.0,11.5,3.79,0.1,0.31,18.9,8,4,7,46.3,40.8,0.1,2.7,4.2
vs Rayo Vallecano,28,38.0,49,405,154,38.0,10.66,4.05,0.1,0.27,18.1,17,7,9,48.4,41.5,0.1,0.6,0.5
vs Real Madrid,31,38.0,31,428,124,29.0,11.26,3.26,0.07,0.23,18.7,14,3,5,43.9,39.8,0.09,-12.9,-11.8
vs Real Sociedad,32,38.0,37,413,121,29.3,10.87,3.18,0.08,0.26,18.7,15,5,6,38.7,34.0,0.08,-1.7,-2.0
vs Sevilla,33,38.0,30,420,118,28.1,11.05,3.11,0.07,0.24,18.7,15,2,4,36.9,33.8,0.08,-6.9,-5.8
vs Valencia,34,38.0,50,437,155,35.5,11.5,4.08,0.1,0.28,18.1,19,7,8,47.7,41.6,0.1,2.3,1.4
vs Villarreal,29,38.0,36,410,123,30.0,10.79,3.24,0.08,0.26,18.6,13,4,5,44.8,41.1,0.1,-8.8,-9.1
