Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,27,38.0,18006,16238,1704,401,49,102,606,744,175,90,50,3,14226,64,295
vs Aston Villa,31,38.0,19079,17229,1811,424,48,233,685,815,220,118,64,3,15222,39,372
vs Brentford,29,38.0,20238,18429,1738,405,73,104,812,774,229,128,69,2,15770,71,329
vs Brighton,26,38.0,17380,15605,1733,417,36,113,680,740,211,106,55,6,13304,42,374
vs Burnley,23,38.0,21508,19529,1925,473,44,168,861,846,265,95,79,5,16821,54,364
vs Chelsea,26,38.0,15424,13651,1706,451,63,90,533,697,151,66,52,4,11678,67,346
vs Crystal Palace,24,38.0,18471,16628,1790,453,42,130,664,825,184,74,96,0,14264,53,360
vs Everton,33,38.0,22270,20390,1837,397,44,129,719,859,219,114,62,8,18019,43,415
vs Leeds United,29,38.0,17052,15102,1897,498,100,92,568,829,181,86,79,3,13019,53,366
vs Leicester City,28,38.0,18823,17017,1733,391,63,150,738,788,218,129,63,2,14828,73,382
vs Liverpool,27,38.0,15214,13387,1683,403,89,105,460,678,117,70,37,0,11072,144,323
vs Manchester City,26,38.0,13251,11640,1517,376,50,89,397,493,108,52,37,3,9984,94,252
vs Manchester Utd,29,38.0,18933,17152,1709,462,61,139,648,668,207,105,67,3,15051,72,310
vs Newcastle Utd,29,38.0,21214,19431,1725,433,72,125,685,764,190,94,72,4,17236,58,292
vs Norwich City,28,38.0,21657,19892,1709,380,77,162,793,784,251,131,78,1,17698,56,326
vs Southampton,25,38.0,18812,16984,1763,422,41,109,721,817,197,114,48,4,14361,65,349
vs Tottenham,25,38.0,19252,17557,1652,434,39,130,740,680,192,84,71,10,15570,43,348
vs Watford,30,38.0,21809,19879,1875,469,69,174,801,850,234,115,86,8,17339,55,332
vs West Ham,25,38.0,20172,18525,1612,361,50,92,758,651,200,114,65,2,16243,35,280
vs Wolves,26,38.0,19655,17914,1656,391,84,111,721,745,204,101,73,3,15751,85,367
