Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,29,38.0,107,5,0,504,590,64,722,287,328,6,11,0,1420,694,639,52.1
vs Athletic Club,31,38.0,83,4,2,406,462,84,592,361,471,5,6,1,1624,514,496,50.9
vs Atlético Madrid,24,38.0,68,0,0,450,384,37,656,369,365,3,7,0,1547,420,445,48.6
vs Barcelona,28,38.0,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,47.1
vs Betis,36,38.0,102,7,3,552,408,92,683,332,459,3,10,2,1618,478,464,50.7
vs Celta Vigo,30,38.0,88,7,2,455,447,75,667,390,382,2,9,1,1698,439,375,53.9
vs Espanyol,27,38.0,66,2,0,457,469,53,858,292,309,6,5,2,1576,504,493,50.6
vs Getafe,30,38.0,101,5,1,529,561,85,626,282,391,7,5,0,1419,738,771,48.9
vs Girona,30,38.0,80,4,1,460,426,44,607,277,348,6,5,1,1414,344,321,51.7
vs Las Palmas,34,38.0,90,7,2,489,431,99,740,307,360,9,4,2,1625,561,529,51.5
vs Leganés,26,38.0,74,1,0,492,475,47,879,279,351,6,7,1,1568,614,472,56.5
vs Mallorca,28,38.0,70,2,0,451,440,41,821,272,402,1,5,1,1546,609,672,47.5
vs Osasuna,25,38.0,81,6,2,405,485,103,704,250,385,7,9,2,1532,515,617,45.5
vs Rayo Vallecano,26,38.0,78,4,1,422,499,50,678,314,398,7,1,3,1600,540,485,52.7
vs Real Madrid,30,38.0,89,6,1,534,316,43,554,333,408,3,14,0,1467,267,334,44.4
vs Real Sociedad,31,38.0,82,0,0,446,479,85,610,292,377,4,4,1,1530,606,578,51.2
vs Sevilla,35,38.0,93,4,0,433,469,62,661,283,375,4,3,3,1409,442,531,45.4
vs Valencia,32,38.0,86,3,1,474,418,107,691,293,388,6,5,1,1589,540,449,54.6
vs Valladolid,38,38.0,86,3,2,505,434,60,743,211,329,6,5,0,1489,524,544,49.1
vs Villarreal,31,38.0,99,7,1,496,413,42,782,297,349,7,7,2,1493,399,492,44.8
