Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,30,38.0,70,4,3,471,461,46,572,423,370,7,5,3,2051,408,509,44.5
Bordeaux,39,38.0,91,5,2,460,391,58,611,454,377,2,9,3,2134,488,506,49.1
Brest,25,38.0,59,2,0,427,417,47,710,469,400,4,4,2,2006,618,540,53.4
Clermont Foot,28,38.0,65,8,3,387,482,53,713,386,361,2,5,3,2137,432,466,48.1
Lens,28,38.0,73,7,1,421,357,58,699,455,359,3,5,0,2051,427,366,53.8
Lille,26,38.0,98,6,3,446,441,89,621,377,359,5,6,2,2145,525,492,51.6
Lorient,29,38.0,69,4,3,475,423,55,588,412,412,3,6,3,2044,433,524,45.2
Lyon,30,38.0,65,6,2,436,424,62,571,396,367,6,8,3,2129,470,409,53.5
Marseille,27,38.0,61,3,1,347,459,60,619,327,319,10,4,1,1862,368,323,53.3
Metz,36,38.0,94,9,2,514,417,48,581,507,442,1,5,2,2092,527,529,49.9
Monaco,27,38.0,85,4,3,496,408,94,705,424,435,5,9,3,2287,546,498,52.3
Montpellier,27,38.0,77,8,4,411,465,53,697,356,380,3,6,1,2018,437,560,43.8
Nantes,26,38.0,80,4,2,500,372,55,731,415,405,2,7,1,2057,598,566,51.4
Nice,27,38.0,77,6,2,456,371,53,742,441,369,6,5,0,2064,526,471,52.8
Paris S-G,36,38.0,79,4,1,357,416,93,459,303,360,6,3,1,1824,262,221,54.2
Reims,35,38.0,68,7,4,449,451,76,629,493,365,5,7,0,2074,453,495,47.8
Rennes,28,38.0,56,2,1,434,377,59,698,315,318,4,6,1,1904,547,534,50.6
Saint-Étienne,39,38.0,81,5,1,464,441,51,697,452,397,4,8,4,2152,463,611,43.1
Strasbourg,26,38.0,72,3,1,497,400,61,797,433,392,6,4,1,2092,654,521,55.7
Troyes,35,38.0,75,6,3,442,473,53,708,430,351,7,10,2,1987,417,460,47.5
