Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,32,38.0,35,403,145,36.0,10.61,3.82,0.08,0.23,18.3,11,2,2,38.6,37.1,0.1,-3.6,-4.1
vs Bologna,30,38.0,45,317,103,32.5,8.34,2.71,0.14,0.42,17.3,11,2,3,36.7,34.3,0.11,8.3,8.7
vs Cagliari,28,38.0,56,497,147,29.6,13.08,3.87,0.1,0.34,17.7,17,6,6,55.3,51.1,0.11,0.7,-1.1
vs Como,38,38.0,52,376,136,36.2,9.89,3.58,0.12,0.33,17.5,22,7,7,43.0,37.6,0.1,9.0,7.4
vs Empoli,34,38.0,58,513,156,30.4,13.5,4.11,0.11,0.37,17.3,17,1,3,50.1,47.7,0.09,7.9,9.3
vs Fiorentina,34,38.0,40,440,145,33.0,11.58,3.82,0.09,0.27,17.4,14,1,3,42.8,40.4,0.09,-2.8,-1.4
vs Genoa,37,38.0,46,472,150,31.8,12.42,3.95,0.08,0.27,17.9,15,6,8,47.2,41.1,0.09,-1.2,-1.1
vs Hellas Verona,32,38.0,65,501,169,33.7,13.18,4.45,0.13,0.37,18.4,23,2,4,53.4,50.3,0.1,11.6,12.7
vs Inter,26,38.0,34,395,126,31.9,10.39,3.32,0.08,0.25,17.7,11,3,4,36.4,33.1,0.09,-2.4,-2.1
vs Juventus,29,38.0,35,394,114,28.9,10.37,3.0,0.08,0.26,18.0,13,5,5,34.0,30.1,0.08,1.0,-0.1
vs Lazio,27,38.0,47,380,115,30.3,10.0,3.03,0.11,0.37,17.6,14,4,4,37.7,34.7,0.09,9.3,8.3
vs Lecce,31,38.0,55,521,172,33.0,13.71,4.53,0.09,0.27,17.5,18,8,10,57.1,49.6,0.1,-2.1,-2.6
vs Milan,35,38.0,40,429,140,32.6,11.29,3.68,0.09,0.28,17.9,14,1,2,41.3,39.7,0.1,-1.3,-0.7
vs Monza,36,38.0,66,563,179,31.8,14.82,4.71,0.11,0.36,16.8,19,2,4,54.7,51.6,0.09,11.3,12.4
vs Napoli,27,38.0,25,360,93,25.8,9.47,2.45,0.07,0.26,19.2,19,1,4,29.6,26.3,0.07,-4.6,-2.3
vs Parma,32,38.0,56,537,153,28.5,14.13,4.03,0.09,0.33,17.1,20,5,5,56.4,52.6,0.1,-0.4,-1.6
vs Roma,28,38.0,34,437,147,33.6,11.5,3.87,0.07,0.2,18.2,13,4,4,40.9,37.7,0.09,-6.9,-7.7
vs Torino,31,38.0,43,522,173,33.1,13.74,4.55,0.08,0.23,17.3,9,3,7,50.4,44.9,0.09,-7.4,-4.9
vs Udinese,31,38.0,51,496,157,31.7,13.05,4.13,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5
vs Venezia,36,38.0,53,556,177,31.8,14.63,4.66,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9
