Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,3,38,38,3420,38.0,55,1.45,146,93,66.4,13,7,18,12,31.6,6,6,0,0,0.0
vs Aston Villa,1,38,38,3420,38.0,55,1.45,183,131,72.7,15,7,16,8,21.1,6,5,0,1,0.0
vs Brighton,2,38,38,3420,38.0,40,1.05,140,101,75.7,15,14,9,12,31.6,9,6,0,3,0.0
vs Burnley,3,38,38,3420,38.0,33,0.87,127,95,76.4,19,9,10,17,44.7,3,3,0,0,0.0
vs Chelsea,3,38,38,3420,38.0,58,1.53,203,145,75.4,9,10,19,10,26.3,10,8,2,0,20.0
vs Crystal Palace,2,38,38,3420,38.0,41,1.08,131,91,71.0,18,8,12,14,36.8,4,3,1,0,25.0
vs Everton,3,38,38,3420,38.0,47,1.24,148,102,70.9,13,8,17,10,26.3,5,4,1,0,20.0
vs Fulham,2,38,38,3420,38.0,27,0.71,129,102,81.4,20,13,5,18,47.4,6,3,1,2,25.0
vs Leeds United,2,38,38,3420,38.0,62,1.63,197,136,70.6,15,5,18,10,26.3,4,4,0,0,0.0
vs Leicester City,1,38,38,3420,38.0,68,1.79,182,116,68.1,12,6,20,6,15.8,12,10,2,0,16.7
vs Liverpool,3,38,38,3420,38.0,68,1.79,210,145,70.5,9,9,20,8,21.1,6,6,0,0,0.0
vs Manchester City,3,38,38,3420,38.0,83,2.18,217,127,64.1,6,5,27,3,7.9,9,5,1,3,16.7
vs Manchester Utd,2,38,38,3420,38.0,73,1.92,207,135,69.6,6,11,21,8,21.1,11,10,1,0,9.1
vs Newcastle Utd,2,38,38,3420,38.0,46,1.21,137,92,70.8,17,9,12,12,31.6,7,6,1,0,14.3
vs Sheffield Utd,1,38,38,3420,38.0,20,0.53,96,76,82.3,29,2,7,21,55.3,4,3,1,0,25.0
vs Southampton,2,38,38,3420,38.0,47,1.24,163,115,74.2,19,7,12,13,34.2,6,5,1,0,16.7
vs Tottenham,1,38,38,3420,38.0,68,1.79,172,106,63.4,12,8,18,6,15.8,5,5,0,0,0.0
vs West Brom,2,38,38,3420,38.0,35,0.92,110,77,71.8,22,11,5,16,42.1,4,4,0,0,0.0
vs West Ham,2,38,38,3420,38.0,62,1.63,161,100,62.7,11,8,19,7,18.4,4,2,1,1,33.3
vs Wolves,2,38,38,3417,38.0,36,0.95,153,119,79.1,17,9,12,13,34.2,4,4,0,0,0.0
