Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ajaccio,3,38,38,3417,38.0,23,0.61,89,65,80.9,26,5,7,22,57.9,9,6,2,1,25.0
vs Angers,2,38,38,3420,38.0,33,0.87,125,94,76.8,28,6,4,13,34.2,4,4,0,0,0.0
vs Auxerre,3,38,38,3420,38.0,35,0.92,125,92,77.6,19,11,8,11,28.9,9,7,1,1,12.5
vs Brest,2,38,38,3420,38.0,44,1.16,140,96,73.6,16,11,11,10,26.3,8,7,1,0,12.5
vs Clermont Foot,2,38,38,3420,38.0,45,1.18,147,102,74.1,13,8,17,10,26.3,10,7,1,2,12.5
vs Lens,2,38,38,3420,38.0,68,1.79,186,117,66.7,4,9,25,5,13.2,9,6,3,0,33.3
vs Lille,2,38,38,3420,38.0,65,1.71,212,147,74.5,9,10,19,7,18.4,12,11,0,1,0.0
vs Lorient,2,38,38,3420,38.0,52,1.37,155,104,69.0,13,10,15,9,23.7,6,4,2,0,33.3
vs Lyon,2,38,38,3420,38.0,65,1.71,206,142,71.4,12,8,18,7,18.4,8,6,1,1,14.3
vs Marseille,2,38,38,3420,38.0,67,1.76,180,118,66.1,9,7,22,5,13.2,7,6,1,0,14.3
vs Monaco,1,38,38,3420,38.0,70,1.84,207,135,68.6,11,8,19,6,15.8,8,5,3,0,37.5
vs Montpellier,4,38,38,3420,38.0,65,1.71,172,108,66.3,18,5,15,5,13.2,7,7,0,0,0.0
vs Nantes,2,38,38,3420,38.0,37,0.97,155,119,78.1,16,15,7,15,39.5,5,3,1,1,25.0
vs Nice,2,38,38,3419,38.0,48,1.26,194,146,78.4,10,13,15,11,28.9,7,6,1,0,14.3
vs Paris S-G,2,38,38,3420,38.0,89,2.34,249,161,66.3,7,4,27,4,10.5,7,5,2,0,28.6
vs Reims,2,38,38,3420,38.0,45,1.18,173,127,78.0,11,15,12,12,31.6,8,7,1,0,12.5
vs Rennes,2,38,38,3420,38.0,69,1.82,192,126,65.6,12,5,21,5,13.2,3,3,0,0,0.0
vs Strasbourg,1,38,38,3418,38.0,51,1.34,157,107,70.7,16,13,9,6,15.8,7,5,2,0,28.6
vs Toulouse,1,38,38,3420,38.0,51,1.34,175,125,73.1,16,9,13,11,28.9,4,4,0,0,0.0
vs Troyes,2,38,38,3420,38.0,45,1.18,135,92,70.4,22,12,4,11,28.9,5,5,0,0,0.0
