Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Brest,25,25.8,46.4,34,374,3060,34.0,34,24,58,32,2,3,63,6,39.2,36.8,27.2,63.9,578,1329,1.0,0.71,1.71,0.94,1.65,1.15,0.8,1.95,1.08,1.88
vs Clermont Foot,31,25.7,51.1,34,374,3060,34.0,59,38,97,52,7,9,70,6,63.7,56.9,44.2,101.0,635,1577,1.74,1.12,2.85,1.53,2.65,1.87,1.3,3.17,1.67,2.97
vs Le Havre,27,26.0,55.3,34,374,3060,34.0,43,33,76,41,2,4,63,6,50.6,47.3,35.6,82.9,617,1527,1.26,0.97,2.24,1.21,2.18,1.49,1.05,2.53,1.39,2.44
vs Lens,27,25.6,47.1,34,374,3060,34.0,36,24,60,30,6,8,70,2,46.7,40.2,30.6,70.8,519,1146,1.06,0.71,1.76,0.88,1.59,1.37,0.9,2.27,1.18,2.08
vs Lille,28,25.8,43.4,34,374,3060,34.0,32,22,54,29,3,5,77,0,36.5,32.5,25.7,58.2,532,1110,0.94,0.65,1.59,0.85,1.5,1.07,0.75,1.83,0.96,1.71
vs Lorient,38,25.9,53.7,34,374,3060,34.0,65,48,113,57,8,8,61,4,54.5,48.2,39.2,87.3,648,1647,1.91,1.41,3.32,1.68,3.09,1.6,1.15,2.75,1.42,2.57
vs Lyon,35,25.5,48.2,34,374,3060,34.0,54,38,92,50,4,6,63,3,52.4,47.8,37.8,85.6,648,1391,1.59,1.12,2.71,1.47,2.59,1.54,1.11,2.65,1.41,2.52
vs Marseille,33,25.9,46.3,34,374,3060,34.0,40,27,67,37,3,3,82,8,35.4,33.0,26.5,59.6,630,1228,1.18,0.79,1.97,1.09,1.88,1.04,0.78,1.82,0.97,1.75
vs Metz,30,25.6,64.5,34,374,3060,34.0,58,38,96,52,6,6,58,1,54.5,49.8,37.0,86.8,739,1944,1.71,1.12,2.82,1.53,2.65,1.6,1.09,2.69,1.47,2.55
vs Monaco,30,25.7,46.4,34,374,3060,34.0,40,26,66,35,5,6,62,5,43.5,38.8,30.4,69.2,602,1311,1.18,0.76,1.94,1.03,1.79,1.28,0.9,2.17,1.14,2.04
vs Montpellier,31,25.8,55.4,34,374,3060,34.0,45,32,77,41,4,5,81,5,50.9,46.9,36.7,83.6,770,1714,1.32,0.94,2.26,1.21,2.15,1.5,1.08,2.58,1.38,2.46
vs Nantes,35,25.8,55.2,34,374,3060,34.0,55,36,91,46,9,10,62,5,53.0,45.7,35.9,81.5,617,1613,1.62,1.06,2.68,1.35,2.41,1.56,1.06,2.62,1.34,2.4
vs Nice,27,25.8,47.6,34,374,3060,34.0,28,17,45,23,5,8,71,5,35.5,29.3,22.0,51.3,494,1154,0.82,0.5,1.32,0.68,1.18,1.04,0.65,1.69,0.86,1.51
vs Paris S-G,29,25.8,34.8,34,374,3060,34.0,33,23,56,29,4,5,50,2,40.0,36.4,28.9,65.3,488,1054,0.97,0.68,1.65,0.85,1.53,1.18,0.85,2.03,1.07,1.92
vs Reims,29,25.7,49.6,34,374,3060,34.0,46,30,76,40,6,7,57,1,46.4,40.9,32.0,73.0,608,1410,1.35,0.88,2.24,1.18,2.06,1.36,0.94,2.31,1.2,2.15
vs Rennes,29,25.8,47.9,34,374,3060,34.0,43,22,65,40,3,3,73,9,41.2,38.9,29.1,67.9,536,1246,1.26,0.65,1.91,1.18,1.82,1.21,0.85,2.07,1.14,2.0
vs Strasbourg,30,26.0,55.7,34,374,3060,34.0,47,32,79,43,4,5,68,1,45.5,41.5,33.3,74.9,553,1536,1.38,0.94,2.32,1.26,2.21,1.34,0.98,2.32,1.22,2.2
vs Toulouse,26,25.9,51.6,34,374,3060,34.0,46,24,70,42,4,4,62,3,48.1,44.9,33.4,78.3,607,1343,1.35,0.71,2.06,1.24,1.94,1.41,0.98,2.39,1.32,2.3
