Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,3,38,38,3419,38.0,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0
Athletic Club,3,38,38,3417,38.0,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0
Atlético Madrid,2,38,38,3420,38.0,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0
Barcelona,3,38,38,3420,38.0,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0
Betis,3,38,38,3420,38.0,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0
Celta Vigo,2,38,38,3420,38.0,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0
Espanyol,1,38,38,3420,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3
Getafe,1,38,38,3420,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1
Girona,3,38,38,3420,38.0,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0
Las Palmas,2,38,38,3420,38.0,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4
Leganés,2,38,38,3420,38.0,56,1.47,175,122,72.0,9,13,16,11,28.9,8,7,0,1,0.0
Mallorca,2,38,38,3420,38.0,44,1.16,165,122,75.2,13,9,16,9,23.7,3,3,0,0,0.0
Osasuna,2,38,38,3420,38.0,52,1.37,187,136,75.9,12,16,10,9,23.7,7,7,0,0,0.0
Rayo Vallecano,2,38,38,3420,38.0,45,1.18,153,107,74.5,13,13,12,10,26.3,8,6,2,0,25.0
Real Madrid,3,38,38,3420,38.0,38,1.0,126,89,72.2,26,6,6,15,39.5,3,3,0,0,0.0
Real Sociedad,2,38,38,3420,38.0,46,1.21,142,94,71.1,13,7,18,13,34.2,7,5,2,0,28.6
Sevilla,2,38,38,3420,38.0,55,1.45,148,93,66.2,10,11,17,10,26.3,6,5,1,0,16.7
Valencia,2,38,38,3420,38.0,54,1.42,148,95,67.6,11,13,14,8,21.1,9,6,2,1,25.0
Valladolid,3,38,38,3420,38.0,90,2.37,204,115,59.3,4,4,30,5,13.2,7,7,0,0,0.0
Villarreal,2,38,38,3420,38.0,51,1.34,160,110,72.5,20,10,8,7,18.4,8,7,0,1,0.0
