Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arminia,26,34.0,59,0,0,315,412,88,682,349,345,5,2,1,2062,734,658,52.7
vs Augsburg,26,34.0,59,0,0,381,427,57,685,361,324,3,5,0,1910,604,557,52.0
vs Bayern Munich,30,34.0,49,0,0,376,296,82,441,498,386,1,5,5,2086,394,422,48.3
vs Bochum,28,34.0,68,0,0,412,401,49,581,293,314,3,6,1,2064,599,609,49.6
vs Dortmund,33,34.0,69,0,0,418,350,67,510,481,342,4,11,4,1978,363,419,46.4
vs Eint Frankfurt,27,34.0,61,1,0,325,393,84,586,417,317,3,2,2,2300,644,552,53.8
vs Freiburg,26,34.0,65,2,1,396,377,54,622,333,239,1,6,3,1858,638,675,48.6
vs Gladbach,26,34.0,73,4,3,488,337,91,606,364,321,4,7,0,1963,419,464,47.5
vs Greuther Fürth,29,34.0,49,2,1,451,421,55,678,312,325,5,5,2,2015,602,468,56.3
vs Hertha BSC,36,34.0,47,0,0,451,400,91,698,352,333,6,3,2,1948,575,556,50.8
vs Hoffenheim,32,34.0,47,3,2,361,405,102,540,362,316,3,0,3,1865,574,485,54.2
vs Köln,26,34.0,65,0,0,481,396,74,517,367,324,1,1,0,2020,590,597,49.7
vs Leverkusen,29,34.0,50,1,0,350,348,52,554,414,347,2,6,4,2054,415,442,48.4
vs Mainz 05,28,34.0,69,0,0,406,475,45,561,359,312,4,4,1,2099,580,606,48.9
vs RB Leipzig,29,34.0,68,4,0,446,346,88,463,402,318,1,9,0,1953,420,504,45.5
vs Stuttgart,34,34.0,58,2,0,437,358,32,656,345,346,1,3,1,2023,451,586,43.5
vs Union Berlin,28,34.0,52,3,3,350,402,34,577,354,227,1,5,0,1881,681,584,53.8
vs Wolfsburg,30,34.0,66,2,0,431,388,53,644,349,282,6,4,1,1966,522,621,45.7
