Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arminia,1,34,34,3060,34.0,26,0.76,102,78,75.5,17,8,9,15,44.1,2,1,1,0,50.0
vs Augsburg,1,34,34,3060,34.0,36,1.06,111,75,69.4,18,6,10,11,32.4,5,2,1,2,33.3
vs Bayern Munich,2,34,34,3060,34.0,99,2.91,229,130,60.7,4,6,24,0,0.0,10,9,1,0,10.0
vs Dortmund,2,34,34,3060,34.0,75,2.21,189,113,61.9,10,4,20,1,2.9,7,3,2,2,40.0
vs Eint Frankfurt,2,34,34,3060,34.0,69,2.03,170,106,64.1,6,12,16,2,5.9,8,8,0,0,0.0
vs Freiburg,2,34,34,3060,34.0,52,1.53,146,95,68.5,13,9,12,9,26.5,6,6,0,0,0.0
vs Gladbach,2,34,34,3060,34.0,64,1.88,175,112,69.1,11,10,13,4,11.8,11,10,0,1,0.0
vs Hertha BSC,2,34,34,3056,34.0,41,1.21,148,106,75.0,15,11,8,12,35.3,6,4,2,0,33.3
vs Hoffenheim,2,34,34,3060,34.0,52,1.53,155,103,69.7,13,10,11,7,20.6,6,5,1,0,16.7
vs Köln,2,34,34,3060,34.0,34,1.0,108,74,72.2,17,9,8,12,35.3,6,4,1,1,20.0
vs Leverkusen,3,34,34,3060,34.0,53,1.56,167,115,70.1,10,10,14,9,26.5,3,3,0,0,0.0
vs Mainz 05,2,34,34,3060,34.0,39,1.15,139,100,75.5,15,9,10,10,29.4,5,5,0,0,0.0
vs RB Leipzig,2,34,34,3060,34.0,60,1.76,199,138,73.9,7,8,19,4,11.8,10,8,2,0,20.0
vs Schalke 04,3,34,34,3060,34.0,25,0.74,84,57,70.2,24,7,3,18,52.9,3,0,3,0,100.0
vs Stuttgart,2,34,34,3060,34.0,56,1.65,158,102,68.4,13,9,12,6,17.6,8,6,2,0,25.0
vs Union Berlin,2,34,34,3060,34.0,50,1.47,139,87,67.6,8,14,12,6,17.6,7,5,2,0,28.6
vs Werder Bremen,1,34,34,3060,34.0,36,1.06,125,90,75.2,17,10,7,9,26.5,5,5,0,0,0.0
vs Wolfsburg,2,34,34,3060,34.0,61,1.79,166,109,64.5,7,10,17,5,14.7,3,2,0,1,0.0
