Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Almería,29,38.0,64,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2
vs Athletic Club,26,38.0,40,387,120,31.0,10.18,3.16,0.1,0.31,18.0,16,3,3,36.9,34.5,0.09,3.1,2.5
vs Atlético Madrid,27,38.0,33,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2
vs Barcelona,29,38.0,17,328,99,30.2,8.63,2.61,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8
vs Betis,30,38.0,40,463,143,30.9,12.18,3.76,0.08,0.26,17.9,24,3,3,50.0,47.7,0.1,-10.0,-10.7
vs Cádiz,38,38.0,53,541,192,35.5,14.24,5.05,0.08,0.23,17.5,24,9,10,61.6,53.8,0.1,-8.6,-9.8
vs Celta Vigo,26,38.0,52,379,127,33.5,9.97,3.34,0.12,0.37,17.3,14,5,8,45.4,39.2,0.11,6.6,7.8
vs Elche,32,38.0,65,551,198,35.9,14.5,5.21,0.11,0.29,17.3,22,7,10,70.0,62.1,0.12,-5.0,-4.1
vs Espanyol,33,38.0,67,539,177,32.8,14.18,4.66,0.12,0.35,17.2,15,5,6,59.8,55.3,0.1,7.2,6.7
vs Getafe,25,38.0,43,480,158,32.9,12.63,4.16,0.08,0.25,19.7,22,4,8,46.0,39.8,0.09,-3.0,-0.8
vs Girona,29,38.0,55,485,161,33.2,12.76,4.24,0.1,0.3,18.0,13,6,8,54.9,48.6,0.1,0.1,0.4
vs Mallorca,31,38.0,43,489,138,28.2,12.87,3.63,0.08,0.27,19.3,19,6,7,46.4,41.0,0.08,-3.4,-4.0
vs Osasuna,26,38.0,40,441,146,33.1,11.61,3.84,0.09,0.27,18.1,15,1,4,45.7,42.5,0.1,-5.7,-3.5
vs Rayo Vallecano,28,38.0,49,431,140,32.5,11.34,3.68,0.1,0.32,17.4,13,4,5,50.3,46.6,0.11,-1.3,-1.6
vs Real Madrid,26,38.0,35,417,131,31.4,10.97,3.45,0.07,0.24,18.7,11,4,5,38.9,35.0,0.09,-3.9,-4.0
vs Real Sociedad,30,38.0,33,393,131,33.3,10.34,3.45,0.08,0.24,18.2,12,1,2,33.0,31.5,0.08,0.0,0.5
vs Sevilla,35,38.0,51,508,158,31.1,13.37,4.16,0.1,0.31,18.5,19,2,3,54.2,51.8,0.11,-3.2,-2.8
vs Valencia,28,38.0,43,395,146,37.0,10.39,3.84,0.1,0.28,17.0,16,2,5,43.5,39.7,0.1,-0.5,1.3
vs Valladolid,36,38.0,62,579,190,32.8,15.24,5.0,0.1,0.29,17.5,18,6,10,65.2,57.5,0.1,-3.2,-1.5
vs Villarreal,32,38.0,39,470,145,30.9,12.37,3.82,0.07,0.24,17.8,14,4,4,49.9,46.7,0.1,-10.9,-11.7
