Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Angers,30,34.0,628,389,241,275,112,331,580,57.1,249,315,87,228,251,879,674,22
vs Auxerre,29,34.0,670,414,293,257,120,324,582,55.7,258,355,91,264,279,949,702,17
vs Brest,30,34.0,491,294,223,204,64,245,454,54.0,209,347,88,259,300,791,808,22
vs Le Havre,31,34.0,547,314,213,239,95,236,469,50.3,233,301,83,218,249,796,788,20
vs Lens,33,34.0,638,361,296,247,95,297,546,54.4,249,443,144,299,361,999,942,17
vs Lille,27,34.0,588,364,300,229,59,288,571,50.4,283,388,113,275,374,962,777,25
vs Lyon,31,34.0,558,345,303,181,74,277,515,53.8,238,429,115,314,319,877,864,10
vs Marseille,32,34.0,613,372,270,245,98,300,578,51.9,278,404,128,276,335,948,784,27
vs Monaco,28,34.0,641,389,306,257,78,300,566,53.0,266,391,130,261,368,1009,892,30
vs Montpellier,35,34.0,598,366,263,230,105,302,564,53.5,262,326,103,223,280,878,858,21
vs Nantes,30,34.0,564,350,299,191,74,278,505,55.0,227,316,92,224,221,785,857,18
vs Nice,31,34.0,661,449,285,288,88,346,641,54.0,295,390,121,269,312,973,774,19
vs Paris S-G,28,34.0,722,454,419,233,70,393,757,51.9,364,420,142,278,338,1060,740,28
vs Reims,34,34.0,616,371,283,233,100,312,591,52.8,279,332,122,210,270,886,823,9
vs Rennes,35,34.0,671,411,333,241,97,327,597,54.8,270,376,111,265,356,1027,774,18
vs Saint-Étienne,32,34.0,603,402,302,199,102,294,533,55.2,239,340,104,236,317,920,634,15
vs Strasbourg,30,34.0,567,366,247,217,103,304,586,51.9,282,324,90,234,312,879,612,25
vs Toulouse,27,34.0,617,398,283,273,61,306,583,52.5,277,354,100,254,298,915,869,25
