Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,21,7.0,3,56,18,32.1,8.0,2.57,0.05,0.17,17.2,2,0,0,4.3,4.3,0.08,-1.3,-1.3
vs Aston Villa,23,7.0,7,80,19,23.8,11.43,2.71,0.08,0.32,16.9,0,1,1,9.7,8.9,0.12,-2.7,-2.9
vs Bournemouth,23,7.0,8,71,27,38.0,10.14,3.86,0.11,0.3,16.8,1,0,0,6.3,6.3,0.09,1.7,1.7
vs Brentford,20,7.0,11,92,27,29.3,13.14,3.86,0.11,0.37,17.8,1,1,2,9.6,8.0,0.09,1.4,2.0
vs Brighton,20,7.0,8,72,21,29.2,10.29,3.0,0.1,0.33,16.3,5,1,1,9.1,8.3,0.12,-1.1,-1.3
vs Burnley,21,7.0,12,129,38,29.5,18.43,5.43,0.08,0.26,16.4,1,2,2,13.4,11.9,0.09,-1.4,-1.9
vs Chelsea,25,7.0,9,76,22,28.9,10.86,3.14,0.12,0.41,16.5,5,0,0,9.7,9.7,0.13,-0.7,-0.7
vs Crystal Palace,20,7.0,5,88,20,22.7,12.57,2.86,0.05,0.2,15.7,2,1,1,8.7,7.9,0.09,-3.7,-3.9
vs Everton,19,7.0,7,91,22,24.2,13.0,3.14,0.07,0.27,18.0,2,1,2,9.5,8.1,0.09,-2.5,-2.1
vs Fulham,21,7.0,10,68,27,39.7,9.71,3.86,0.12,0.3,17.1,1,2,3,8.9,6.6,0.1,1.1,1.4
vs Leeds United,21,7.0,10,74,24,32.4,10.57,3.43,0.12,0.38,17.1,4,1,1,7.9,7.1,0.1,2.1,1.9
vs Liverpool,22,7.0,9,71,22,31.0,10.14,3.14,0.13,0.41,16.3,4,0,0,7.9,7.9,0.11,1.1,1.1
vs Manchester City,22,7.0,6,71,22,31.0,10.14,3.14,0.07,0.23,16.5,1,1,1,7.1,6.3,0.09,-1.1,-1.3
vs Manchester Utd,20,7.0,11,64,27,42.2,9.14,3.86,0.17,0.41,14.3,2,0,0,9.9,9.9,0.16,1.1,1.1
vs Newcastle Utd,21,7.0,5,62,24,38.7,8.86,3.43,0.08,0.21,17.5,4,0,0,4.7,4.7,0.08,0.3,0.3
vs Nott'ham Forest,24,7.0,12,84,34,40.5,12.0,4.86,0.11,0.26,15.0,1,3,3,12.4,10.1,0.12,-0.4,-1.1
vs Sunderland,23,7.0,6,88,28,31.8,12.57,4.0,0.07,0.21,17.2,0,0,1,8.7,7.9,0.09,-2.7,-1.9
vs Tottenham,19,7.0,5,88,29,33.0,12.57,4.14,0.06,0.17,17.6,3,0,0,8.7,8.7,0.1,-3.7,-3.7
vs West Ham,24,7.0,16,97,33,34.0,13.86,4.71,0.15,0.45,14.1,1,1,1,11.1,10.3,0.11,4.9,4.7
vs Wolves,23,7.0,14,88,29,33.0,12.57,4.14,0.16,0.48,18.6,6,0,0,9.4,9.4,0.11,4.6,4.6
