Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Augsburg,29,34.0,14262,12585,1596,393,34,76,631,681,165,65,80,0,10545,81,314
Bayern Munich,30,34.0,22946,21398,1488,347,83,119,655,620,228,78,102,2,19987,60,363
Bochum,25,34.0,14203,12336,1784,454,42,50,649,813,154,58,77,1,9786,83,325
Darmstadt 98,32,34.0,15336,13685,1594,408,19,103,514,641,115,42,62,1,11807,57,311
Dortmund,32,34.0,20445,18810,1591,467,52,151,522,602,176,79,77,2,17191,44,344
Eint Frankfurt,34,34.0,18809,17091,1667,407,54,57,557,739,161,61,85,0,15017,51,368
Freiburg,25,34.0,16023,14477,1494,406,34,68,593,582,128,76,39,0,12337,52,327
Gladbach,27,34.0,16946,15325,1568,414,45,67,574,615,174,62,87,1,13544,53,330
Heidenheim,22,34.0,14339,12534,1767,381,22,112,663,798,183,90,75,0,10264,38,427
Hoffenheim,30,34.0,17038,15411,1575,414,62,74,603,617,149,59,56,2,13457,52,328
Köln,26,34.0,15411,13628,1730,396,19,69,779,792,188,81,77,0,11704,53,427
Leverkusen,24,34.0,24301,22816,1412,357,84,109,586,578,236,113,42,2,21192,73,356
Mainz 05,30,34.0,15120,13376,1685,446,29,74,633,770,180,69,85,1,10974,59,346
RB Leipzig,26,34.0,19590,17935,1588,423,86,93,608,657,200,72,78,4,16254,67,344
Stuttgart,27,34.0,22456,20912,1494,434,88,90,537,608,166,76,34,0,19201,50,350
Union Berlin,30,34.0,14784,13097,1626,385,28,64,662,725,157,58,79,2,11004,61,327
Werder Bremen,30,34.0,16418,14834,1514,455,50,97,543,554,120,44,57,0,12821,70,312
Wolfsburg,28,34.0,16624,14924,1659,493,31,77,593,670,148,98,37,2,13092,41,330
