Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,27,38.0,928,24.42,681,87,64,51,33,12,113,2.97,83,5,6,11,7,1
Bologna,27,38.0,866,22.79,642,72,45,49,46,12,91,2.39,64,11,3,7,6,0
Cremonese,33,38.0,789,20.76,551,81,37,61,45,14,53,1.39,31,5,4,9,4,0
Empoli,32,38.0,767,20.18,537,77,46,46,47,14,60,1.58,39,6,6,5,4,0
Fiorentina,30,38.0,1068,28.11,763,113,54,70,53,15,89,2.34,64,6,7,7,4,1
Hellas Verona,36,38.0,704,18.53,482,90,41,42,29,20,50,1.32,31,4,5,7,2,1
Inter,25,38.0,1104,29.05,816,117,29,79,52,11,118,3.11,88,4,7,10,7,2
Juventus,29,38.0,911,23.97,638,94,50,77,38,14,91,2.39,61,7,3,9,9,2
Lazio,24,38.0,760,20.0,576,56,44,43,32,9,103,2.71,78,3,6,11,5,0
Lecce,29,38.0,699,18.39,483,84,43,42,38,9,50,1.32,38,2,4,3,2,1
Milan,30,38.0,985,25.92,688,91,65,68,58,15,111,2.92,76,6,15,7,4,3
Monza,31,38.0,714,18.79,537,60,30,40,35,12,86,2.26,62,5,6,4,8,1
Napoli,27,38.0,1105,29.08,819,92,58,66,47,23,131,3.45,98,8,4,14,6,1
Roma,30,38.0,861,22.66,574,110,43,68,53,13,85,2.24,52,10,5,12,5,1
Salernitana,30,38.0,656,17.26,489,58,27,44,30,8,81,2.13,64,4,4,7,2,0
Sampdoria,40,38.0,637,16.76,456,52,28,46,39,16,36,0.95,26,2,1,4,1,2
Sassuolo,31,38.0,871,22.92,684,50,49,41,34,13,81,2.13,56,4,4,10,7,0
Spezia,34,38.0,710,18.68,511,61,39,43,38,18,42,1.11,29,1,3,5,4,0
Torino,28,38.0,821,21.61,635,61,52,40,21,12,74,1.95,58,2,7,4,3,0
Udinese,30,38.0,889,23.39,625,87,53,58,51,15,80,2.11,61,6,3,3,5,2
