Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,30,38.0,90,614,221,36.0,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7
Benevento,29,38.0,40,411,128,31.1,10.82,3.37,0.09,0.27,17.7,17,5,7,40.6,35.0,0.09,-0.6,0.0
Bologna,37,38.0,49,495,175,35.4,13.03,4.61,0.09,0.26,18.5,24,3,4,54.6,51.1,0.11,-5.6,-5.1
Cagliari,32,38.0,43,429,122,28.4,11.29,3.21,0.09,0.32,17.4,13,4,5,47.1,43.4,0.1,-4.1,-4.4
Crotone,31,38.0,44,353,111,31.4,9.29,2.92,0.1,0.32,18.8,15,9,9,40.4,33.4,0.1,3.6,1.6
Fiorentina,30,38.0,44,366,115,31.4,9.63,3.03,0.1,0.33,16.9,14,6,6,44.9,40.2,0.11,-0.9,-2.2
Genoa,34,38.0,46,338,120,35.5,8.89,3.16,0.12,0.35,18.0,11,4,4,38.8,35.6,0.11,7.2,6.4
Hellas Verona,32,38.0,38,400,118,29.5,10.53,3.11,0.09,0.3,16.2,13,3,3,45.3,43.0,0.11,-7.3,-8.0
Inter,25,38.0,84,543,194,35.7,14.29,5.11,0.14,0.39,16.3,17,8,9,74.2,67.2,0.13,9.8,8.8
Juventus,30,38.0,76,585,206,35.2,15.39,5.42,0.12,0.33,16.8,23,8,10,74.4,67.0,0.12,1.6,1.0
Lazio,30,38.0,59,514,175,34.0,13.53,4.61,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,0.8,2.3
Milan,29,38.0,72,537,184,34.3,14.13,4.84,0.11,0.31,18.4,30,15,20,70.7,56.0,0.11,1.3,1.0
Napoli,25,38.0,83,637,217,34.1,16.76,5.71,0.12,0.35,18.1,25,7,8,67.7,61.4,0.1,15.3,14.6
Parma,42,38.0,39,392,123,31.4,10.32,3.24,0.09,0.28,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6
Roma,31,38.0,67,537,191,35.6,14.13,5.03,0.11,0.31,16.4,14,7,8,65.3,59.0,0.12,1.7,1.0
Sampdoria,27,38.0,52,422,134,31.8,11.11,3.53,0.11,0.35,17.5,15,5,6,45.4,41.1,0.1,6.6,5.9
Sassuolo,28,38.0,61,516,164,31.8,13.58,4.32,0.09,0.29,18.7,25,13,14,58.4,47.7,0.09,2.6,0.3
Spezia,35,38.0,52,382,130,34.0,10.05,3.42,0.13,0.37,16.8,10,4,5,46.5,42.6,0.12,5.5,5.4
Torino,29,38.0,49,457,144,31.5,12.03,3.79,0.1,0.31,17.5,40,5,6,50.0,45.3,0.1,-1.0,-1.3
Udinese,33,38.0,40,410,125,30.5,10.79,3.29,0.09,0.29,18.1,13,4,4,45.7,42.9,0.11,-5.7,-6.9
