Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Brest,25,46.4,34.0,19138,2227,6465,8820,4099,626,19135,762,409,53.7,306,40.2,12854,78100,37002,578,466,139,578,373,11598,1322
vs Clermont Foot,31,51.1,34.0,21388,1955,6056,10203,5361,841,21379,665,321,48.3,312,46.9,15503,87754,41427,635,565,161,538,269,14154,1561
vs Le Havre,27,55.3,34.0,22612,2049,6446,11167,5229,734,22608,608,289,47.5,283,46.5,16774,93031,43084,617,611,146,504,277,15571,1515
vs Lens,27,47.1,34.0,20095,2471,7041,9292,4001,640,20087,617,278,45.1,291,47.2,14231,80032,35649,519,446,137,520,263,12862,1130
vs Lille,28,43.4,34.0,18257,2185,6741,8087,3679,561,18252,616,302,49.0,278,45.1,12952,76175,34274,532,415,130,459,316,11583,1103
vs Lorient,38,53.7,34.0,22851,1952,5906,11148,6048,869,22843,579,279,48.2,252,43.5,17046,94852,45149,648,623,177,484,286,15793,1632
vs Lyon,35,48.2,34.0,20720,2193,6186,9915,4852,732,20714,612,328,53.6,250,40.8,14943,85944,39810,648,575,147,516,288,13604,1369
vs Marseille,33,46.3,34.0,19426,2302,6720,8711,4262,628,19423,615,295,48.0,292,47.5,13701,81287,38791,630,569,144,564,312,12399,1216
vs Metz,30,64.5,34.0,25406,1773,6023,13185,6432,871,25400,545,276,50.6,238,43.7,19361,109820,52869,739,724,151,482,324,18327,1931
vs Monaco,30,46.4,34.0,19752,2425,7066,8687,4253,672,19746,743,364,49.0,322,43.3,13560,78413,34929,602,471,151,557,342,12150,1296
vs Montpellier,31,55.4,34.0,22267,2128,6110,10662,5755,860,22262,741,381,51.4,310,41.8,16071,93731,45022,770,685,185,596,309,14717,1698
vs Nantes,35,55.2,34.0,22696,2046,6322,11430,5176,738,22686,661,318,48.1,298,45.1,16967,93973,44646,617,557,144,490,284,15777,1599
vs Nice,27,47.6,34.0,20328,2372,6753,9456,4342,576,20320,532,220,41.4,285,53.6,14785,81423,34756,494,512,119,455,253,13530,1148
vs Paris S-G,29,34.8,34.0,16780,2288,6075,6819,4104,675,16775,646,319,49.4,283,43.8,11342,66103,28495,488,430,168,481,302,9998,1044
vs Reims,29,49.6,34.0,20100,2163,6439,9239,4647,756,20093,678,319,47.1,320,47.2,13973,80742,36737,608,472,150,582,320,12744,1394
vs Rennes,29,47.9,34.0,19920,2237,6613,8988,4543,690,19917,557,245,44.0,280,50.3,14101,80068,37902,536,502,139,489,246,12889,1228
vs Strasbourg,30,55.7,34.0,22457,2058,6853,10942,4852,766,22452,617,264,42.8,308,49.9,16620,93058,43511,553,514,153,520,312,15461,1521
vs Toulouse,26,51.6,34.0,21145,2261,6727,9823,4832,736,21141,689,332,48.2,294,42.7,15176,87106,38428,607,585,144,495,318,14012,1333
