Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,33,38.0,79,4,1,484,497,89,789,311,273,3,7,2,2061,674,869,43.7
vs Athletic Club,26,38.0,105,9,4,513,455,67,754,387,353,2,7,3,2036,572,585,49.4
vs Atlético Madrid,26,38.0,102,4,1,520,444,36,601,404,309,3,5,2,1930,539,559,49.1
vs Barcelona,38,38.0,93,5,1,511,465,78,500,392,352,2,7,0,1885,410,454,47.5
vs Betis,31,38.0,74,3,1,495,455,129,764,375,370,3,6,2,1869,511,505,50.3
vs Cádiz,33,38.0,98,6,3,472,462,63,750,323,312,10,6,0,2038,693,601,53.6
vs Celta Vigo,25,38.0,103,5,0,488,481,35,609,454,324,6,6,0,2175,696,603,53.6
vs Elche,28,38.0,80,2,0,504,495,104,767,359,346,8,1,1,2077,515,527,49.4
vs Espanyol,34,38.0,120,7,4,540,418,86,888,287,350,2,5,1,1899,574,447,56.2
vs Getafe,31,38.0,110,4,2,510,530,109,752,357,279,3,5,2,2111,717,721,49.9
vs Granada,32,38.0,101,9,6,498,453,69,824,307,280,7,5,1,2067,743,602,55.2
vs Levante,31,38.0,104,5,3,434,526,78,697,327,384,6,13,0,2051,492,441,52.7
vs Mallorca,33,38.0,114,6,4,561,520,57,738,306,351,4,7,3,2011,703,651,51.9
vs Osasuna,29,38.0,73,1,0,414,475,82,719,353,326,5,8,0,2104,743,808,47.9
vs Rayo Vallecano,28,38.0,110,3,0,540,508,54,659,343,391,6,4,1,2151,655,652,50.1
vs Real Madrid,31,38.0,82,3,1,501,370,30,670,342,346,5,12,0,1742,319,397,44.6
vs Real Sociedad,32,38.0,95,2,2,493,465,86,662,339,415,5,11,0,1954,597,678,46.8
vs Sevilla,33,38.0,98,4,2,497,441,53,647,348,353,1,3,2,1879,561,595,48.5
vs Valencia,34,38.0,133,7,4,603,616,97,679,286,335,5,9,3,2076,599,564,51.5
vs Villarreal,29,38.0,98,3,2,483,456,123,749,387,380,5,6,1,1929,437,491,47.1
