Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6
Benevento,29,38.0,95,5,2,496,593,61,645,383,288,7,5,6,1749,496,615,44.6
Bologna,37,38.0,82,4,2,536,476,73,669,424,313,3,9,2,2016,564,594,48.7
Cagliari,32,38.0,77,3,2,516,469,57,721,388,336,4,5,0,1854,637,602,51.4
Crotone,31,38.0,89,4,2,531,490,57,544,380,311,7,5,2,1936,472,534,46.9
Fiorentina,30,38.0,86,5,0,523,523,61,740,388,263,4,11,2,1817,538,544,49.7
Genoa,34,38.0,87,2,1,520,466,79,579,519,309,2,7,2,2013,504,643,43.9
Hellas Verona,32,38.0,91,1,0,622,520,108,732,492,269,3,7,2,2214,749,832,47.4
Inter,25,38.0,61,2,1,472,426,65,702,371,286,6,7,1,1814,439,428,50.6
Juventus,30,38.0,80,6,2,505,470,93,754,458,323,8,9,2,1941,426,378,53.0
Lazio,30,38.0,107,5,3,498,427,87,744,445,346,8,10,2,2132,539,510,51.4
Milan,29,38.0,83,4,1,513,474,92,688,382,357,15,5,1,2069,567,539,51.3
Napoli,25,38.0,76,3,2,386,548,72,665,369,345,7,5,1,1923,414,404,50.6
Parma,42,38.0,91,1,0,525,481,78,643,463,317,4,3,3,1803,630,474,57.1
Roma,31,38.0,91,3,3,553,425,62,679,489,273,6,6,3,1894,428,414,50.8
Sampdoria,27,38.0,83,3,1,509,485,62,787,453,326,3,9,1,2048,628,597,51.3
Sassuolo,28,38.0,79,4,2,494,475,57,588,426,310,12,5,1,1850,408,450,47.6
Spezia,35,38.0,100,5,4,588,529,82,602,395,318,5,10,0,2001,537,567,48.6
Torino,29,38.0,78,4,3,577,602,59,740,444,306,6,10,0,1968,595,622,48.9
Udinese,33,38.0,65,2,1,511,522,82,703,440,294,3,14,0,1853,491,442,52.6
