Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Angers,30,34.0,79,7,4,420,361,26,719,251,389,4,6,1,1504,428,334,56.2
vs Auxerre,29,34.0,50,4,1,387,380,83,660,279,414,7,5,1,1567,422,412,50.6
vs Brest,30,34.0,63,2,0,443,404,59,639,300,294,6,9,0,1466,508,534,48.8
vs Le Havre,31,34.0,68,6,4,425,363,44,687,249,314,5,10,3,1373,436,451,49.2
vs Lens,33,34.0,62,2,0,381,479,32,473,361,361,7,5,2,1473,414,450,47.9
vs Lille,27,34.0,63,8,0,392,387,55,482,374,364,3,10,0,1437,350,392,47.2
vs Lyon,31,34.0,71,3,2,387,387,54,549,319,345,3,10,3,1425,332,305,52.1
vs Marseille,32,34.0,61,3,0,390,372,92,385,335,372,3,10,4,1452,249,312,44.4
vs Monaco,28,34.0,70,3,1,470,436,49,498,368,389,1,7,0,1624,421,426,49.7
vs Montpellier,35,34.0,70,2,1,463,399,38,564,280,366,6,4,0,1412,442,374,54.2
vs Nantes,30,34.0,55,5,1,409,393,42,740,221,350,6,5,0,1422,439,426,50.8
vs Nice,31,34.0,72,4,4,432,369,28,604,312,449,2,6,4,1533,402,427,48.5
vs Paris S-G,28,34.0,61,2,0,360,284,73,386,338,454,1,7,3,1521,214,262,45.0
vs Reims,34,34.0,49,3,0,391,361,56,707,270,371,3,2,1,1457,430,378,53.2
vs Rennes,35,34.0,68,6,2,412,421,89,510,356,411,2,8,0,1482,393,443,47.0
vs Saint-Étienne,32,34.0,55,1,0,387,426,58,692,317,402,10,4,0,1544,386,342,53.0
vs Strasbourg,30,34.0,72,2,1,435,370,68,700,312,366,6,2,2,1517,324,339,48.9
vs Toulouse,27,34.0,77,3,0,439,419,41,556,298,398,2,4,2,1508,443,426,51.0
