Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,30,38.0,469,278,197,215,57,213,468,45.5,255,309,89,220,342,811,623,13
vs Athletic Club,27,38.0,532,303,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6
vs Atlético Madrid,25,38.0,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9
vs Barcelona,25,38.0,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8
vs Betis,25,38.0,586,336,286,245,55,218,638,34.2,420,408,130,278,364,950,610,12
vs Cádiz,34,38.0,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10
vs Celta Vigo,30,38.0,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6
vs Eibar,30,38.0,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7
vs Elche,30,38.0,598,347,216,281,101,253,618,40.9,365,327,57,270,406,1004,586,8
vs Getafe,31,38.0,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3
vs Granada,34,38.0,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9
vs Huesca,27,38.0,532,309,212,221,99,227,653,34.8,426,325,80,245,323,855,773,14
vs Levante,29,38.0,575,334,287,204,84,249,615,40.5,366,374,76,298,433,1008,638,8
vs Osasuna,28,38.0,505,309,252,195,58,195,440,44.3,245,312,79,233,338,843,694,7
vs Real Madrid,30,38.0,531,295,277,184,70,216,645,33.5,429,418,133,285,380,911,707,16
vs Real Sociedad,30,38.0,531,311,253,212,66,220,550,40.0,330,413,104,309,379,910,710,16
vs Sevilla,26,38.0,516,306,255,196,65,207,599,34.6,392,325,87,238,407,923,635,13
vs Valencia,30,38.0,480,295,210,198,72,212,553,38.3,341,332,93,239,391,871,540,9
vs Valladolid,32,38.0,541,314,256,206,79,213,504,42.3,291,311,74,237,368,909,701,12
vs Villarreal,29,38.0,591,324,280,223,88,255,692,36.8,437,394,94,300,416,1007,617,12
