Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,1,6,6,540,6.0,13,2.17,34,20,64.7,2,0,4,0,0.0,2,1,1,0,50.0
Bayern Munich,1,6,6,540,6.0,3,0.5,13,10,76.9,6,0,0,4,66.7,0,0,0,0,
Dortmund,1,6,6,540,6.0,4,0.67,16,12,81.3,4,2,0,4,66.7,1,1,0,0,0.0
Eint Frankfurt,2,6,6,540,6.0,16,2.67,33,17,54.5,3,0,3,0,0.0,1,1,0,0,0.0
Freiburg,1,6,6,540,6.0,9,1.5,27,17,66.7,2,2,2,2,33.3,1,0,1,0,100.0
Gladbach,1,7,7,630,7.0,15,2.14,34,19,58.8,0,3,4,2,28.6,1,1,0,0,0.0
Hamburger SV,1,6,6,540,6.0,8,1.33,35,26,80.0,2,2,2,3,50.0,2,1,1,0,50.0
Heidenheim,1,6,6,540,6.0,11,1.83,35,24,71.4,1,0,5,0,0.0,1,1,0,0,0.0
Hoffenheim,1,6,6,540,6.0,12,2.0,29,17,65.5,2,1,3,0,0.0,2,2,0,0,0.0
Köln,1,6,6,540,6.0,9,1.5,27,18,70.4,3,1,2,2,33.3,1,1,0,0,0.0
Leverkusen,1,6,6,540,6.0,8,1.33,27,19,74.1,3,2,1,1,16.7,1,1,0,0,0.0
Mainz 05,2,6,6,538,6.0,10,1.67,26,16,61.5,1,1,4,0,0.0,0,0,0,0,
RB Leipzig,1,6,6,540,6.0,8,1.33,22,14,63.6,4,1,1,3,50.0,0,0,0,0,
St. Pauli,1,6,6,540,6.0,9,1.5,31,20,71.0,2,1,3,1,16.7,2,0,2,0,100.0
Stuttgart,1,6,6,540,6.0,6,1.0,22,16,77.3,4,0,2,3,50.0,1,1,0,0,0.0
Union Berlin,1,7,7,630,7.0,14,2.0,41,27,73.2,3,1,3,1,14.3,3,3,0,0,0.0
Werder Bremen,2,6,6,540,6.0,14,2.33,31,18,64.5,2,1,3,2,33.3,3,3,0,0,0.0
Wolfsburg,1,6,6,540,6.0,10,1.67,28,18,67.9,1,2,3,0,0.0,2,1,0,1,0.0
